,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Feelings",Drake,40122,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
2,"Devia Ir","Wet Bed Gang",24587,https://open.spotify.com/track/1ftBvRj542ol7LT1A0EtL7
3,SAD!,XXXTENTACION,22491,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
4,"Amor de Verdade","MC Kekel",22002,https://open.spotify.com/track/76KDy62J99FKu6ZsxMJy3j
5,"Mafiosa (feat. Caroliina)",Lartiste,20977,https://open.spotify.com/track/0WxiQqTcK3ZErx2mMWgtm6
6,"Lucid Dreams","Juice WRLD",20540,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
7,"Girls Like You (feat. Cardi B)","Maroon 5",19190,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
8,"Te Boté - Remix","Nio Garcia",17725,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
9,"Better Now","Post Malone",17716,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
10,"Solo (feat. Demi Lovato)","Clean Bandit",17178,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
11,"I Like It","Cardi B",16490,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
12,"Taste (feat. Offset)",Tyga,16234,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
13,"One Kiss (with Dua Lipa)","Calvin Harris",16143,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
14,"Din Din Din (Participação especial de MC Pupio e MC Doguinha)",Ludmilla,15384,https://open.spotify.com/track/78Q2gghkt8iLJ7J0Uc4QYb
15,"God is a woman","Ariana Grande",14444,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
16,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,14267,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
17,"No Brainer","DJ Khaled",14213,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
18,"Don’t Matter To Me (with Michael Jackson)",Drake,14164,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
19,"God's Plan",Drake,14077,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
20,Rise,"Jonas Blue",13903,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
21,X,"Nicky Jam",13544,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
22,"Jackie Chan",Tiësto,13485,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
23,"Faz Gostoso",Blaya,13359,https://open.spotify.com/track/35pucCKt28NvIK88gpEEjl
24,Youngblood,"5 Seconds of Summer",13177,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
25,"Ocean (feat. Khalid)","Martin Garrix",12415,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
