,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Devia Ir","Wet Bed Gang",42155,https://open.spotify.com/track/1ftBvRj542ol7LT1A0EtL7
2,Cafeína,"Dj Dadda",23500,https://open.spotify.com/track/37tlhZnzXdF5en96O1j93w
3,"Te Boté - Remix","Nio Garcia",23138,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
4,"I Love It (& Lil Pump)","Kanye West",21759,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
5,"In My Feelings",Drake,21664,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
6,"O Bebê","MC Kevinho",21571,https://open.spotify.com/track/51HrDv54pSe1IqynORNXBd
7,"Mafiosa (feat. Caroliina)",Lartiste,21301,https://open.spotify.com/track/0WxiQqTcK3ZErx2mMWgtm6
8,"Lucid Dreams","Juice WRLD",20729,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
9,"Falling Down - Bonus Track","Lil Peep",19766,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
10,"Lucky You (feat. Joyner Lucas)",Eminem,19548,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
11,"In My Mind",Dynoro,17206,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
12,Natural,"Imagine Dragons",16806,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
13,"Amor de Verdade","MC Kekel",16677,https://open.spotify.com/track/76KDy62J99FKu6ZsxMJy3j
14,"Água de Coco (Prod. Lhast)",ProfJam,16017,https://open.spotify.com/track/4VXadgWrXnmHsWknVD2vgJ
15,Happier,Marshmello,15974,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
16,"Eastside (with Halsey & Khalid)","benny blanco",15939,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
17,"NÓS2 (feat. Deezy)",Bispo,15715,https://open.spotify.com/track/4Pl3vnDKIJRQ1eXjeqimBR
18,SAD!,XXXTENTACION,15576,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
19,"Promises (with Sam Smith)","Calvin Harris",14565,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
20,"Mesa 8","Wet Bed Gang",14384,https://open.spotify.com/track/6ZWr4ogmKx2JlY6YOTcnON
21,"Din Din Din (Participação especial de MC Pupio e MC Doguinha)",Ludmilla,13682,https://open.spotify.com/track/78Q2gghkt8iLJ7J0Uc4QYb
22,Youngblood,"5 Seconds of Summer",13659,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
23,"Taste (feat. Offset)",Tyga,13569,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
24,"Girls Like You (feat. Cardi B)","Maroon 5",13509,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
25,"Better Now","Post Malone",13109,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
26,Sauce,Sippinpurpp,12716,https://open.spotify.com/track/4v5cpw1zIlqShprCCgL5UL
27,Rise,"Jonas Blue",12449,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
28,Better,Khalid,11925,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
29,"Faz Gostoso",Blaya,11852,https://open.spotify.com/track/35pucCKt28NvIK88gpEEjl
30,"One Kiss (with Dua Lipa)","Calvin Harris",11847,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
31,"Solo (feat. Demi Lovato)","Clean Bandit",11686,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
32,"SICKO MODE","Travis Scott",11033,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
33,"Chaminé (Zara G)","Wet Bed Gang",11013,https://open.spotify.com/track/53kn2KqWSG9neh5H3YQqxt
34,"Coração Não Tem Idade (Vou Beijar)",Toy,11007,https://open.spotify.com/track/42RynyXHcGYj6Cvwrh7eIZ
35,"Dona Maria","Thiago Brava",10848,https://open.spotify.com/track/0dGqIEsFN3KakdPCMkgjre
36,"Prova dos 9",Piruka,10822,https://open.spotify.com/track/7JSvz1VaPKZzQ0gRJkW95x
37,"Vaina Loca",Ozuna,10816,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
38,"No Brainer","DJ Khaled",10653,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
39,"Sin Pijama","Becky G",10623,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
40,BEBE,6ix9ine,10460,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
41,"Não Sinto","Wet Bed Gang",10444,https://open.spotify.com/track/0YC2GENi574LpUCPEHk8qy
42,"Jackie Chan",Tiësto,10407,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
43,Rain,mishlawi,10380,https://open.spotify.com/track/65GMCfqsrFRDSX7OWNoJeS
44,"Electricity (with Dua Lipa)","Silk City",10234,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
45,"I Like It","Cardi B",10122,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
46,"Be Alright","Dean Lewis",9592,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
47,"Beautiful (feat. Camila Cabello)",Bazzi,9529,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
48,breathin,"Ariana Grande",9336,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
49,Nevermind,"Dennis Lloyd",8727,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
50,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,8538,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
51,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",8533,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
52,"God is a woman","Ariana Grande",8292,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
53,"No Stylist","French Montana",8232,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
54,"This Feeling (feat. Kelsea Ballerini)","The Chainsmokers",8156,https://open.spotify.com/track/15kQGEy89K8deJcZVFEn0N
55,Aleluia,"Wet Bed Gang",8146,https://open.spotify.com/track/3nOdmaNfqskNaYpBGPLDdG
56,Killshot,Eminem,8045,https://open.spotify.com/track/1jo3TwNGCXfNdB5uba3ZVv
57,Moonlight,XXXTENTACION,8021,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
58,"1100 Cegonhas - Prod. Here's Jhonny",Dillaz,8001,https://open.spotify.com/track/2z8miBNCvH52PnK5vfeXm8
59,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""","Imagine Dragons",7916,https://open.spotify.com/track/0cDwUAF7yQrOLRcFfJpSc2
60,"Wake Up in the Sky","Gucci Mane",7897,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
61,"X - Remix","Nicky Jam",7866,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw
62,"The Ringer",Eminem,7651,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
