,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",47070,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",32964,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,27586,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
4,Paris,"The Chainsmokers",22158,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
5,"It Ain't Me (with Selena Gomez)",Kygo,20419,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
6,"I Feel It Coming","The Weeknd",19442,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
7,"Chantaje (feat. Maluma)",Shakira,18854,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
8,"Scared to Be Lonely","Martin Garrix",18620,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
9,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",17671,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
10,Starboy,"The Weeknd",17630,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
11,"Say You Won't Let Go","James Arthur",16804,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
12,"Castle on the Hill","Ed Sheeran",15926,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
13,"Olha a Explosão","MC Kevinho",14409,https://open.spotify.com/track/6m2LNopVJKsvBB9l7Z1rwn
14,"Deu Onda","MC G15",14074,https://open.spotify.com/track/0EPxmvsG1BY5td4aTOkWBF
15,Believer,"Imagine Dragons",14013,https://open.spotify.com/track/6VRghJeP6I0w1KxkdWFfIh
16,"Call On Me - Ryan Riback Extended Remix",Starley,13763,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
17,Human,"Rag'n'Bone Man",13602,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O
18,Cold,"Maroon 5",13498,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
19,"Just Hold On","Steve Aoki",13104,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
20,"Se Não Acordar Amanhã",Piruka,12865,https://open.spotify.com/track/4oWGtWd4deNrZZOopdmCwz
21,"Chained To The Rhythm","Katy Perry",12838,https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi
22,Issues,"Julia Michaels",12802,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
23,Loucos,"Matias Damásio",12703,https://open.spotify.com/track/49Fu8EcEOZ9OnpM1XpPpyU
24,"Bad Things (with Camila Cabello)","Machine Gun Kelly",12433,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj
25,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",12370,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
26,Closer,"The Chainsmokers",11778,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
27,"Love Me Now","John Legend",11285,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89
28,"Fake Love",Drake,11090,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
29,"Something Just Like This","The Chainsmokers",11050,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
30,"One Dance",Drake,11028,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
31,"Don't Wanna Know","Maroon 5",10851,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
32,Weak,AJR,10748,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
33,"Não Se Passa Nada",Piruka,10741,https://open.spotify.com/track/7AcZsdwJFJEPxGwr2ErOvu
34,Mercy,"Shawn Mendes",10687,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a
35,"Let Me Love You","DJ Snake",10666,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
36,"Solo Dance","Martin Jensen",10653,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
37,"24K Magic","Bruno Mars",10490,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
