,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Devia Ir","Wet Bed Gang",42557,https://open.spotify.com/track/1ftBvRj542ol7LT1A0EtL7
2,"O Bebê","MC Kevinho",35788,https://open.spotify.com/track/51HrDv54pSe1IqynORNXBd
3,Cafeína,"Dj Dadda",29611,https://open.spotify.com/track/37tlhZnzXdF5en96O1j93w
4,"Te Boté - Remix","Nio Garcia",23935,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
5,"Lucid Dreams","Juice WRLD",23068,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
6,"Mafiosa (feat. Caroliina)",Lartiste,22712,https://open.spotify.com/track/0WxiQqTcK3ZErx2mMWgtm6
7,Happier,Marshmello,19412,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
8,"Falling Down - Bonus Track","Lil Peep",19272,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
9,"In My Feelings",Drake,18782,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
10,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",17825,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
11,SAD!,XXXTENTACION,17804,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
12,"I Love It (& Lil Pump)","Kanye West",17741,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
13,"NÓS2 (feat. Deezy)",Bispo,17414,https://open.spotify.com/track/4Pl3vnDKIJRQ1eXjeqimBR
14,"Amor de Verdade","MC Kekel",17316,https://open.spotify.com/track/76KDy62J99FKu6ZsxMJy3j
15,Natural,"Imagine Dragons",16816,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
16,"In My Mind",Dynoro,16730,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
17,"Água de Coco (Prod. Lhast)",ProfJam,16388,https://open.spotify.com/track/4VXadgWrXnmHsWknVD2vgJ
18,"Eastside (with Halsey & Khalid)","benny blanco",15787,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
19,Moonlight,XXXTENTACION,15613,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
20,Sauce,Sippinpurpp,15050,https://open.spotify.com/track/4v5cpw1zIlqShprCCgL5UL
21,"Mesa 8","Wet Bed Gang",14566,https://open.spotify.com/track/6ZWr4ogmKx2JlY6YOTcnON
22,Better,Khalid,14034,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
23,Youngblood,"5 Seconds of Summer",13575,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
24,"Din Din Din (Participação especial de MC Pupio e MC Doguinha)",Ludmilla,13513,https://open.spotify.com/track/78Q2gghkt8iLJ7J0Uc4QYb
25,"Better Now","Post Malone",13495,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
26,"Promises (with Sam Smith)","Calvin Harris",13191,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
