,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Devia Ir","Wet Bed Gang",40709,https://open.spotify.com/track/1ftBvRj542ol7LT1A0EtL7
2,"In My Feelings",Drake,26315,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
3,"Lucky You (feat. Joyner Lucas)",Eminem,23255,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
4,"Te Boté - Remix","Nio Garcia",22027,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
5,"Mafiosa (feat. Caroliina)",Lartiste,21403,https://open.spotify.com/track/0WxiQqTcK3ZErx2mMWgtm6
6,"Lucid Dreams","Juice WRLD",19770,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
7,"The Ringer",Eminem,16807,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
8,"Girls Like You (feat. Cardi B)","Maroon 5",16758,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
9,"Taste (feat. Offset)",Tyga,16591,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
10,"Amor de Verdade","MC Kekel",16550,https://open.spotify.com/track/76KDy62J99FKu6ZsxMJy3j
11,"Eastside (with Halsey & Khalid)","benny blanco",15970,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
12,SAD!,XXXTENTACION,15768,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
13,Natural,"Imagine Dragons",15537,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
14,"NÓS2 (feat. Deezy)",Bispo,15000,https://open.spotify.com/track/4Pl3vnDKIJRQ1eXjeqimBR
15,Rise,"Jonas Blue",14256,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
16,"Din Din Din (Participação especial de MC Pupio e MC Doguinha)",Ludmilla,14117,https://open.spotify.com/track/78Q2gghkt8iLJ7J0Uc4QYb
17,Youngblood,"5 Seconds of Summer",13445,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
18,"Mesa 8","Wet Bed Gang",13184,https://open.spotify.com/track/6ZWr4ogmKx2JlY6YOTcnON
19,"In My Mind",Dynoro,13179,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
20,Cafeína,"Dj Dadda",12889,https://open.spotify.com/track/37tlhZnzXdF5en96O1j93w
21,Happier,Marshmello,12818,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
22,"Better Now","Post Malone",12741,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
23,"Promises (with Sam Smith)","Calvin Harris",12719,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
24,"Solo (feat. Demi Lovato)","Clean Bandit",12485,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
25,"God is a woman","Ariana Grande",12404,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
26,"No Brainer","DJ Khaled",12275,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
27,"SICKO MODE","Travis Scott",12009,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
28,Fall,Eminem,11964,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
29,"Água de Coco (Prod. Lhast)",ProfJam,11836,https://open.spotify.com/track/4VXadgWrXnmHsWknVD2vgJ
