,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Faz Gostoso",Blaya,26083,https://open.spotify.com/track/35pucCKt28NvIK88gpEEjl
2,"Amor de Verdade","MC Kekel",25145,https://open.spotify.com/track/76KDy62J99FKu6ZsxMJy3j
3,"Better Now","Post Malone",20565,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
4,"God's Plan",Drake,20108,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
5,"This Is America","Childish Gambino",19627,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
6,FRIENDS,Marshmello,18249,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
7,"Psycho (feat. Ty Dolla $ign)","Post Malone",17843,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
8,"One Kiss (with Dua Lipa)","Calvin Harris",17393,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
9,X,"Nicky Jam",16652,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
10,"rockstar (feat. 21 Savage)","Post Malone",14867,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
11,"Nice For What",Drake,14252,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
12,"Call Out My Name","The Weeknd",13563,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
13,"Four Out Of Five","Arctic Monkeys",13506,https://open.spotify.com/track/5Z5nbOXhsSbySVC7WUc6y9
14,"Star Treatment","Arctic Monkeys",13332,https://open.spotify.com/track/0b93tWwuoAC0nXe1CfR30I
15,"no tears left to cry","Ariana Grande",12418,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
16,"One Point Perspective","Arctic Monkeys",11717,https://open.spotify.com/track/1t67WYNfUxfOiwaz7SJ66b
