,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Devia Ir","Wet Bed Gang",37195,https://open.spotify.com/track/1ftBvRj542ol7LT1A0EtL7
2,"O Bebê","MC Kevinho",32169,https://open.spotify.com/track/51HrDv54pSe1IqynORNXBd
3,Cafeína,"Dj Dadda",29832,https://open.spotify.com/track/37tlhZnzXdF5en96O1j93w
4,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",22389,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
5,"Te Boté - Remix","Nio Garcia",22164,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
6,Happier,Marshmello,21881,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
7,"Lucid Dreams","Juice WRLD",21354,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
8,"Falling Down - Bonus Track","Lil Peep",19701,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
9,"NÓS2 (feat. Deezy)",Bispo,18978,https://open.spotify.com/track/4Pl3vnDKIJRQ1eXjeqimBR
10,Natural,"Imagine Dragons",18821,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
11,"Mafiosa (feat. Caroliina)",Lartiste,18198,https://open.spotify.com/track/0WxiQqTcK3ZErx2mMWgtm6
12,"Eastside (with Halsey & Khalid)","benny blanco",17516,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
13,"I Love It (& Lil Pump)","Kanye West",17264,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
14,"In My Feelings",Drake,17067,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
15,"Água de Coco (Prod. Lhast)",ProfJam,17063,https://open.spotify.com/track/4VXadgWrXnmHsWknVD2vgJ
16,Better,Khalid,16814,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
17,"Amor de Verdade","MC Kekel",16588,https://open.spotify.com/track/76KDy62J99FKu6ZsxMJy3j
18,"In My Mind",Dynoro,16514,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
19,Miúda,"Holly Hood",16468,https://open.spotify.com/track/1DHQcaZMENKPt8KBQgIr25
20,SAD!,XXXTENTACION,16284,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
21,Sauce,Sippinpurpp,15666,https://open.spotify.com/track/4v5cpw1zIlqShprCCgL5UL
22,"Promises (with Sam Smith)","Calvin Harris",14797,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
23,Moonlight,XXXTENTACION,14613,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
24,"Mesa 8","Wet Bed Gang",14355,https://open.spotify.com/track/6ZWr4ogmKx2JlY6YOTcnON
25,Youngblood,"5 Seconds of Summer",14062,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
