,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",53385,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",42047,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,26176,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
4,"Castle on the Hill","Ed Sheeran",24065,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
5,"It Ain't Me (with Selena Gomez)",Kygo,23318,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
6,Paris,"The Chainsmokers",22485,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
7,"Something Just Like This","The Chainsmokers",21110,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
8,"Olha a Explosão","MC Kevinho",19599,https://open.spotify.com/track/6m2LNopVJKsvBB9l7Z1rwn
9,"Scared to Be Lonely","Martin Garrix",19312,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
10,Cold,"Maroon 5",19099,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
11,"Galway Girl","Ed Sheeran",18668,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
12,Perfect,"Ed Sheeran",17875,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
13,"I Feel It Coming","The Weeknd",17860,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
14,"Chantaje (feat. Maluma)",Shakira,15991,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
15,"How Would You Feel (Paean)","Ed Sheeran",15733,https://open.spotify.com/track/6PJ8FF6UR8FZXfEvpHkIVN
16,Dive,"Ed Sheeran",15699,https://open.spotify.com/track/51ChrwmUPDJvedPQnIU8Ls
