,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,rockstar,"Post Malone",28869,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
2,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",19448,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
3,Wolves,"Selena Gomez",18773,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
4,Havana,"Camila Cabello",18270,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
5,"Échame La Culpa","Luis Fonsi",18057,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
6,"New Rules","Dua Lipa",17776,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
7,"Salto Alto",Piruka,17159,https://open.spotify.com/track/3sIXzuNgN9HrC7amkEQWiP
8,"Dusk Till Dawn - Radio Edit",ZAYN,16562,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
9,Silence,Marshmello,15774,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
10,"Gucci Gang","Lil Pump",15203,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc
11,"Him & I",G-Eazy,15152,https://open.spotify.com/track/3YU6vJbjYUG0tiJyXf9x5V
12,"Too Good At Goodbyes","Sam Smith",15141,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
13,Water,"Richie Campbell",14821,https://open.spotify.com/track/4whe9nAKt7gpIEW5USTPAk
14,Perfect,"Ed Sheeran",14496,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
15,"Não Faz Isso",Piruka,14279,https://open.spotify.com/track/0D8wUCg5XGHfWQIEzMmJAl
16,"Let You Down",NF,14145,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
17,"What Lovers Do (feat. SZA)","Maroon 5",14080,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
18,Downtown,Anitta,13924,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
19,"I Fall Apart","Post Malone",12985,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
20,"Me Rehúso","Danny Ocean",12922,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
21,Unforgettable,"French Montana",12687,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
22,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",12263,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
23,"Feel It Still","Portugal. The Man",12238,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
