,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",34474,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
2,HUMBLE.,"Kendrick Lamar",31825,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
3,"Shape of You","Ed Sheeran",30672,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
4,DNA.,"Kendrick Lamar",24115,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
5,"Something Just Like This","The Chainsmokers",21853,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
6,"LOYALTY. FEAT. RIHANNA.","Kendrick Lamar",21240,https://open.spotify.com/track/6SwRhMLwNqEi6alNPVG00n
7,ELEMENT.,"Kendrick Lamar",20274,https://open.spotify.com/track/1EaKU4dMbesXXd3BrLCtYG
8,BLOOD.,"Kendrick Lamar",19486,https://open.spotify.com/track/1n4jwRVXdkK2U34nBDUKKT
9,"It Ain't Me (with Selena Gomez)",Kygo,19261,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
10,YAH.,"Kendrick Lamar",19251,https://open.spotify.com/track/4BHSjbYylfOH5WAGusDyni
11,Cold,"Maroon 5",18772,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
12,FEEL.,"Kendrick Lamar",18115,https://open.spotify.com/track/2LTlO3NuNVN70lp2ZbVswF
13,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",17764,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
14,"XXX. FEAT. U2.","Kendrick Lamar",17744,https://open.spotify.com/track/4iYRa2btalAzPZoSYfROqF
15,Paris,"The Chainsmokers",17723,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
16,PRIDE.,"Kendrick Lamar",17695,https://open.spotify.com/track/6IZvVAP7VPPnsGX6bvgkqg
17,Passionfruit,Drake,16450,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
18,"That's What I Like","Bruno Mars",16251,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
19,"Stay (with Alessia Cara)",Zedd,16031,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
20,LUST.,"Kendrick Lamar",15789,https://open.spotify.com/track/06FCvd7rrRcF3DdvWH5Isp
21,"Scared to Be Lonely","Martin Garrix",15653,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
22,"LOVE. FEAT. ZACARI.","Kendrick Lamar",15168,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
23,"SUBEME LA RADIO","Enrique Iglesias",15041,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
24,Believer,"Imagine Dragons",14545,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
25,"You Don't Know Me - Radio Edit","Jax Jones",14506,https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY
26,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,13646,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
27,FEAR.,"Kendrick Lamar",13567,https://open.spotify.com/track/23luOrEVHMfoX0AhfbQuS6
28,"Olha a Explosão","MC Kevinho",13487,https://open.spotify.com/track/6m2LNopVJKsvBB9l7Z1rwn
29,"Slide (feat. Frank Ocean & Migos)","Calvin Harris",13215,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
30,"Symphony (feat. Zara Larsson)","Clean Bandit",12822,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
31,"Mask Off",Future,12731,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
32,Issues,"Julia Michaels",12530,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
33,"Chantaje (feat. Maluma)",Shakira,12303,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
34,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",12225,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
35,"I Feel It Coming","The Weeknd",11792,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
36,"Galway Girl","Ed Sheeran",11743,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
37,Starboy,"The Weeknd",11553,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
38,GOD.,"Kendrick Lamar",11405,https://open.spotify.com/track/5p3NP9mQblDsVJLdfNZJ3I
39,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",11345,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
40,DUCKWORTH.,"Kendrick Lamar",11140,https://open.spotify.com/track/0y9uTzK9cNKSAEHnpeRG8C
41,"Solo Dance","Martin Jensen",11052,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
42,"Call On Me - Ryan Riback Extended Remix",Starley,10453,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
43,"Chained To The Rhythm","Katy Perry",10371,https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi
44,"Sign of the Times","Harry Styles",10169,https://open.spotify.com/track/5Ohxk2dO5COHF1krpoPigN
45,"Só Eu Sei",Virgul,9807,https://open.spotify.com/track/4bdnmTm3yx2W5wTmTewkVD
46,"Castle on the Hill","Ed Sheeran",9725,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
47,"Se Não Acordar Amanhã",Piruka,9474,https://open.spotify.com/track/4oWGtWd4deNrZZOopdmCwz
48,"Não Se Passa Nada",Piruka,9348,https://open.spotify.com/track/7AcZsdwJFJEPxGwr2ErOvu
49,Selfish,Future,9265,https://open.spotify.com/track/2Ce5IyMlVRVvN997ZJjJJA
50,Dialeto,"Diogo Piçarra",9190,https://open.spotify.com/track/1Eq8bovIxKCDJzzWa78V7p
51,"Wake N Bake",Regula,9145,https://open.spotify.com/track/5hmOBifAAsfEhUxtK6xiEb
52,História,"Diogo Piçarra",9106,https://open.spotify.com/track/14ngg5qaXPvt2rrPvMV1kC
53,Closer,"The Chainsmokers",9096,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
54,"Say You Won't Let Go","James Arthur",9083,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
55,"Fake Love",Drake,8990,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
56,Human,"Rag'n'Bone Man",8777,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O
57,"Hear Me Now",Alok,8748,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
58,"Deu Onda","MC G15",8525,https://open.spotify.com/track/0EPxmvsG1BY5td4aTOkWBF
59,"Green Light",Lorde,8463,https://open.spotify.com/track/0gbBzIqrECJOEPvQJIBFs5
60,Loucos,"Matias Damásio",8321,https://open.spotify.com/track/49Fu8EcEOZ9OnpM1XpPpyU
61,Perfect,"Ed Sheeran",8146,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
62,"Love On The Brain",Rihanna,7652,https://open.spotify.com/track/2aksifNn5ph8igDOkPBA02
63,"The One","The Chainsmokers",7548,https://open.spotify.com/track/0wfbD5rAksdXUzRvMfM3x5
64,Blem,Drake,5851,https://open.spotify.com/track/2XlHu0HcujBCkWMdIAvrqt
65,Location,Khalid,5635,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
66,"I Got You","Bebe Rexha",5633,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i
67,"El Amante","Nicky Jam",5529,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs
68,"iSpy (feat. Lil Yachty)",KYLE,5510,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
69,"Now Or Never",Halsey,5496,https://open.spotify.com/track/0Nhu3zSYbEz32IYiobV75e
70,Congratulations,"Post Malone",5361,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
71,"Still Got Time",ZAYN,5204,https://open.spotify.com/track/000xQL6tZNLJzIrtIgxqSl
72,"Good Life (with G-Eazy & Kehlani)",G-Eazy,5058,https://open.spotify.com/track/1Eck97uRMlprKOOJN9oO1E
73,"Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version",Pitbull,5002,https://open.spotify.com/track/2Vdub5mY4lad7w64bFPUez
74,"Já Não Falamos","Diogo Piçarra",4979,https://open.spotify.com/track/0A5Zv9pIbvI8d9Htu1NB2c
75,Rainha,Virgul,4867,https://open.spotify.com/track/47Sfqrh6K17VYJEagJMlki
76,"24K Magic","Bruno Mars",4762,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
77,"O Grave Bater","MC Kevinho",4742,https://open.spotify.com/track/1bUazU9SSOh02AdlOPeTvm
78,"September Song","JP Cooper",4690,https://open.spotify.com/track/0FuTx2s3YH1ppmtiM6l0zI
79,"One Dance",Drake,4558,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
80,"Reggaetón Lento (Bailemos)",CNCO,4350,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo
81,Weak,AJR,4327,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
82,"Let Me Love You","DJ Snake",4282,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
83,"Me Rehúso","Danny Ocean",4210,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
84,"La Bicicleta","Carlos Vives",4206,https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU
85,Touch,"Little Mix",4203,https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z
86,Everyday,"Ariana Grande",3966,https://open.spotify.com/track/3FiE2d325mIOc4YjkSLVJR
87,Portland,Drake,3958,https://open.spotify.com/track/2bjwRfXMk4uRgOD9IBYl9h
88,"Shed a Light","Robin Schulz",3955,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY
89,"XO TOUR Llif3","Lil Uzi Vert",3934,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
90,"Ca Bu Fla Ma Nau",Piruka,3877,https://open.spotify.com/track/1VdIgUz8lT0JAsnMZRBHzz
91,Mercy,"Shawn Mendes",3855,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a
92,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",3842,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR
93,"No Promises (feat. Demi Lovato)","Cheat Codes",3803,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
94,Happier,"Ed Sheeran",3772,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
95,"Só Existo Contigo","Diogo Piçarra",3729,https://open.spotify.com/track/7aaBhHFVsktJo768Jg6kiL
96,"Love Me Now","John Legend",3692,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89
97,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",3666,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
98,"Mo Boy",Dillaz,3655,https://open.spotify.com/track/0A3b3cu2JPBUTGC6qJEqUy
99,Starving,"Hailee Steinfeld",3651,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe
100,"Just Hold On","Steve Aoki",3610,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
101,"In the Name of Love","Martin Garrix",3607,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
102,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",3558,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
103,"No Lie","Sean Paul",3429,https://open.spotify.com/track/3cFsmM51N5zMAuu1nNY4Tw
104,"Scars To Your Beautiful","Alessia Cara",3374,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK
105,"My Way","Calvin Harris",3373,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
106,"Perfect Strangers","Jonas Blue",3368,https://open.spotify.com/track/1CUVN2kn7mW5FjkqXTR2W1
107,"Don't Let Me Down","The Chainsmokers",3279,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm
