,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Amar pelos Dois","Salvador Sobral",32002,https://open.spotify.com/track/3UjSOJ00E1eLMcayBm827Q
2,"Despacito - Remix","Luis Fonsi",25775,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
3,"I'm the One","DJ Khaled",25747,https://open.spotify.com/track/72Q0FQQo32KJloivv5xge2
4,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",24285,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
5,"Shape of You","Ed Sheeran",24127,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
6,HUMBLE.,"Kendrick Lamar",22113,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
7,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",21360,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
8,"Bad Liar","Selena Gomez",19583,https://open.spotify.com/track/1sCxVKWImDZSZKvG0U9B23
9,"There's Nothing Holdin' Me Back","Shawn Mendes",19278,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
10,"Stay (with Alessia Cara)",Zedd,17651,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
11,"Sign of the Times","Harry Styles",17343,https://open.spotify.com/track/5Ohxk2dO5COHF1krpoPigN
12,Attention,"Charlie Puth",17304,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
13,"Something Just Like This","The Chainsmokers",16967,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
14,"It Ain't Me (with Selena Gomez)",Kygo,16469,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
15,"Mask Off",Future,15304,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
16,"No Promises (feat. Demi Lovato)","Cheat Codes",15217,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
17,"Symphony (feat. Zara Larsson)","Clean Bandit",14914,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
18,Unforgettable,"French Montana",14793,https://open.spotify.com/track/1F2HXIJrE2Xn81OzT2zZvW
19,"Scared to Be Lonely","Martin Garrix",14680,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
20,Passionfruit,Drake,14640,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
21,"That's What I Like","Bruno Mars",14437,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
22,Thunder,"Imagine Dragons",14155,https://open.spotify.com/track/56lBX2WHqfGuoeZxZvUnVj
23,"SUBEME LA RADIO","Enrique Iglesias",14033,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
24,Malibu,"Miley Cyrus",13722,https://open.spotify.com/track/2habSXqcJGExM6JJyskY7O
25,"Slide (feat. Frank Ocean & Migos)","Calvin Harris",13462,https://open.spotify.com/track/6gpcs5eMhJwax4mIfKDYQk
26,Cold,"Maroon 5",12635,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
27,Believer,"Imagine Dragons",11932,https://open.spotify.com/track/6VRghJeP6I0w1KxkdWFfIh
28,Issues,"Julia Michaels",11911,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
29,"Galway Girl","Ed Sheeran",11825,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
30,"First Time",Kygo,11637,https://open.spotify.com/track/2Gl0FzuLxflY6nPifJp5Dr
31,Heaven,"Richie Campbell",11569,https://open.spotify.com/track/3CqELUCD4xPw5ERPXTyPq1
32,"Crying in the Club","Camila Cabello",11209,https://open.spotify.com/track/1SJtlNRJDeYHioymcvsqev
33,Paris,"The Chainsmokers",11097,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
34,"The Cure","Lady Gaga",11030,https://open.spotify.com/track/51PIvodunv6NmX5250zxAh
35,DNA.,"Kendrick Lamar",10805,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
36,"Strip That Down","Liam Payne",10737,https://open.spotify.com/track/4Ro98RCK90oHqqSZUnTFq5
37,Switch,"Iggy Azalea",10579,https://open.spotify.com/track/02LZ1fGJE8fB56yTlCVMEV
