,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"thank u, next","Ariana Grande",32047,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
2,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,29164,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
3,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",27703,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
4,"Devia Ir","Wet Bed Gang",24931,https://open.spotify.com/track/1ftBvRj542ol7LT1A0EtL7
5,Cafeína,"Dj Dadda",23690,https://open.spotify.com/track/37tlhZnzXdF5en96O1j93w
6,"MIA (feat. Drake)","Bad Bunny",23584,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
7,Shallow,"Lady Gaga",22453,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
8,Happier,Marshmello,21375,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
9,"Without Me",Halsey,19796,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
10,Better,Khalid,19751,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
11,"Teu Eternamente","Slow J",18966,https://open.spotify.com/track/5nXOacZiLz7b5Nds2Ouq9h
12,Sauce,Sippinpurpp,18312,https://open.spotify.com/track/4v5cpw1zIlqShprCCgL5UL
13,"O Bebê","MC Kevinho",17007,https://open.spotify.com/track/51HrDv54pSe1IqynORNXBd
14,"Água de Coco (Prod. Lhast)",ProfJam,16837,https://open.spotify.com/track/4VXadgWrXnmHsWknVD2vgJ
15,Natural,"Imagine Dragons",16080,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT
16,"Te Boté - Remix","Nio Garcia",15951,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
17,Miúda,"Holly Hood",15028,https://open.spotify.com/track/1DHQcaZMENKPt8KBQgIr25
18,"Eastside (with Halsey & Khalid)","benny blanco",14529,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
19,Moonlight,XXXTENTACION,13732,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
20,"NÓS2 (feat. Deezy)",Bispo,13557,https://open.spotify.com/track/4Pl3vnDKIJRQ1eXjeqimBR
21,"Sou Favela","MC Bruninho",13539,https://open.spotify.com/track/4r0K5FOCCyuAEb6BsR2ziw
22,Youngblood,"5 Seconds of Summer",13218,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
23,"Lucid Dreams","Juice WRLD",13204,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
24,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",13010,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8
25,"In My Mind",Dynoro,12928,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
26,"Bad Liar","Imagine Dragons",12925,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
27,"Better Now","Post Malone",12853,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
28,SAD!,XXXTENTACION,12344,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
29,"Love Someone","Lukas Graham",12248,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
30,"SICKO MODE","Travis Scott",12014,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
31,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",11750,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA
32,"All I Want for Christmas Is You","Mariah Carey",11478,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
33,"Woman Like Me (feat. Nicki Minaj)","Little Mix",11124,https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED
34,"Amor de Verdade","MC Kekel",10932,https://open.spotify.com/track/76KDy62J99FKu6ZsxMJy3j
35,"Mesa 8","Wet Bed Gang",10117,https://open.spotify.com/track/6ZWr4ogmKx2JlY6YOTcnON
36,"Vaina Loca",Ozuna,9932,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
37,Rise,"Jonas Blue",9891,https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx
38,"when the party's over","Billie Eilish",9876,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
39,Veneno,Anitta,9805,https://open.spotify.com/track/1KFN3kB4hc6r7ILpifFsqf
40,"Mafiosa (feat. Caroliina)",Lartiste,9756,https://open.spotify.com/track/0WxiQqTcK3ZErx2mMWgtm6
41,"TIC TOC (feat. Lil Baby)",6ix9ine,9611,https://open.spotify.com/track/4m5Cd9kAbIxg6t9sMrQWtk
42,"Bohemian Rhapsody - Remastered 2011",Queen,9597,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
43,"Chaminé (Zara G)","Wet Bed Gang",9461,https://open.spotify.com/track/53kn2KqWSG9neh5H3YQqxt
44,"Let You Love Me","Rita Ora",9368,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP
45,"Mo Bamba","Sheck Wes",9349,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
46,"Beautiful (feat. Camila Cabello)",Bazzi,9285,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
47,"Sendo Assim","Sam The Kid",9213,https://open.spotify.com/track/1PioBX3KlN13IXB014CFF6
48,BAD!,XXXTENTACION,9035,https://open.spotify.com/track/4CH66Rxcjcj3VBHwmIBj4T
49,"Falling Down - Bonus Track","Lil Peep",8820,https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9
50,"Ruin My Life","Zara Larsson",8210,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
51,"Não Sinto","Wet Bed Gang",8175,https://open.spotify.com/track/0YC2GENi574LpUCPEHk8qy
52,Rain,mishlawi,7949,https://open.spotify.com/track/65GMCfqsrFRDSX7OWNoJeS
53,"Going Bad (feat. Drake)","Meek Mill",7948,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
54,"Taste (feat. Offset)",Tyga,7930,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
55,"Girls Like You (feat. Cardi B)","Maroon 5",7748,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
56,"Saturday Nights",Khalid,7669,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
57,"Love Lies (with Normani)",Khalid,7656,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
58,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",7516,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
59,"Be Alright","Dean Lewis",7487,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
60,"come out and play","Billie Eilish",7387,https://open.spotify.com/track/7wC5eZcFS1Q1BsQ35DU6H4
61,"1100 Cegonhas - Prod. Here's Jhonny",Dillaz,7338,https://open.spotify.com/track/2z8miBNCvH52PnK5vfeXm8
62,Nevermind,"Dennis Lloyd",7208,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
63,"Promises (with Sam Smith)","Calvin Harris",6945,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
64,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",6907,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
65,"Santa Tell Me","Ariana Grande",6830,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
66,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",6789,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
67,"In My Feelings",Drake,6780,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
68,"Sin Pijama","Becky G",6736,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
69,"Ocean (feat. Khalid)","Martin Garrix",6706,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
70,"Always Remember Us This Way","Lady Gaga",6690,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
71,"23 de Maio","Wet Bed Gang",6668,https://open.spotify.com/track/6dtDzWzfREiF37jPhcfja5
72,"Kiss and Make Up","Dua Lipa",6653,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
73,"Say My Name","David Guetta",6592,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
74,"It's Beginning to Look a Lot Like Christmas","Michael Bublé",6588,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
75,"Happy Now",Kygo,6585,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
76,"Salto Alto",Piruka,6565,https://open.spotify.com/track/3sIXzuNgN9HrC7amkEQWiP
77,Aleluia,"Wet Bed Gang",6554,https://open.spotify.com/track/3nOdmaNfqskNaYpBGPLDdG
78,"Parado no Bailão","MC L da Vinte",6552,https://open.spotify.com/track/3Hb9kUdm4yf839Fle4RIdT
79,"Jocelyn Flores",XXXTENTACION,6470,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
80,"Last Christmas",Wham!,6414,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
81,"Não Tens Visto","Wet Bed Gang",6409,https://open.spotify.com/track/3WzINtpiKu6mwJu8ax7EdC
82,"I Love It (& Lil Pump)","Kanye West",6359,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
83,"lovely (with Khalid)","Billie Eilish",6303,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
84,"Mo Boy",Dillaz,6299,https://open.spotify.com/track/0A3b3cu2JPBUTGC6qJEqUy
85,"Rewrite The Stars (with James Arthur & Anne-Marie)","James Arthur",6208,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV
86,"Dona Maria","Thiago Brava",6191,https://open.spotify.com/track/0dGqIEsFN3KakdPCMkgjre
87,BEBE,6ix9ine,6142,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
88,"God is a woman","Ariana Grande",6119,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
89,"rockstar (feat. 21 Savage)","Post Malone",5888,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
90,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,5739,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
91,"Happy Day","Deejay Telio",5709,https://open.spotify.com/track/4HkmUlLklTFzOIufppSf0e
92,"Solo (feat. Demi Lovato)","Clean Bandit",5695,https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h
93,"Sweet but Psycho","Ava Max",5665,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
94,"One Kiss (with Dua Lipa)","Calvin Harris",5664,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
95,changes,XXXTENTACION,5624,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
96,"O Clima",Lhast,5511,https://open.spotify.com/track/2KTw4vRM6mdBzMlVkInvSS
97,breathin,"Ariana Grande",5440,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
98,"O Sol","Vitor Kley",5432,https://open.spotify.com/track/4lvGHfDuzfv9uDTHMrRMiH
99,Believer,"Imagine Dragons",5366,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
100,"Jingle Bell Rock","Bobby Helms",5312,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
101,"KIKA (feat. Tory Lanez)",6ix9ine,5277,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3
102,"Another One Bites The Dust - Remastered 2011",Queen,5167,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
103,"Prova dos 9",Piruka,5154,https://open.spotify.com/track/7JSvz1VaPKZzQ0gRJkW95x
104,"God's Plan",Drake,5016,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
105,"Dr. Bayard","Mike El Nite",4900,https://open.spotify.com/track/4SqAddoPI8dLe48Pxh6fdO
106,"Suncity (feat. Empress Of)",Khalid,4881,https://open.spotify.com/track/4AhSkRYioEIfGvCV19peYN
107,Imposible,"Luis Fonsi",4854,https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm
108,"Wake Up in the Sky","Gucci Mane",4829,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
109,Iminente,Papillon,4813,https://open.spotify.com/track/1OvhwOWke6RpZXEHzE1Bdz
110,"Everybody Dies In Their Nightmares",XXXTENTACION,4794,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
111,Djadja,"Aya Nakamura",4785,https://open.spotify.com/track/7sKDftgGirHWTVFMtJoDoh
112,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",4769,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
113,bellyache,"Billie Eilish",4760,https://open.spotify.com/track/51NFxnQvaosfDDutk0tams
114,"Tempo Antigo","Apollo G",4735,https://open.spotify.com/track/7oroVaobo7Yekgq2jxuYeU
115,"no tears left to cry","Ariana Grande",4681,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
116,IDGAF,"Dua Lipa",4639,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
117,"Voar (Gson)","Wet Bed Gang",4625,https://open.spotify.com/track/4VSQjXeWif1YluDDhY0eOY
118,"New Light","John Mayer",4589,https://open.spotify.com/track/40FLJc17FMZaPmCQEEZgB0
119,Flames,"David Guetta",4529,https://open.spotify.com/track/66BjcDhhwWCcQIBxHMpKXh
120,"Somebody To Love - Remastered 2011",Queen,4526,https://open.spotify.com/track/6cFZ4PLC19taNlpl9pbGMf
121,"X - Remix","Nicky Jam",4497,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw
122,Thunder,"Imagine Dragons",4487,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
123,"Shape of You","Ed Sheeran",4486,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
124,Trapstar,"Lon3r Johny",4480,https://open.spotify.com/track/4lbVlnnG1lerScqqffnlTt
125,"Vingança - Ao Vivo","Luan Santana",4447,https://open.spotify.com/track/7KdcbYcVF8LkQeQcTYOixJ
126,2002,Anne-Marie,4439,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
