,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",48845,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,Starboy,"The Weeknd",25769,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
3,"Chantaje (feat. Maluma)",Shakira,23193,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,22634,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
5,Paris,"The Chainsmokers",22373,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
6,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",20595,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
7,"I Feel It Coming","The Weeknd",18955,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
8,"Say You Won't Let Go","James Arthur",18707,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
9,"Castle on the Hill","Ed Sheeran",16866,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
10,Loucos,"Matias Damásio",16636,https://open.spotify.com/track/49Fu8EcEOZ9OnpM1XpPpyU
11,"Deu Onda","MC G15",16055,https://open.spotify.com/track/0EPxmvsG1BY5td4aTOkWBF
12,Mercy,"Shawn Mendes",15785,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a
13,"24K Magic","Bruno Mars",15546,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
14,"Don't Wanna Know","Maroon 5",15125,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
15,Closer,"The Chainsmokers",14649,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
16,"Se Não Acordar Amanhã",Piruka,13907,https://open.spotify.com/track/4oWGtWd4deNrZZOopdmCwz
17,"Fake Love",Drake,13552,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
18,"Let Me Love You","DJ Snake",13334,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
19,"Love Me Now","John Legend",13217,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89
20,"Just Hold On","Steve Aoki",13076,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
21,"Hear Me Now",Alok,13011,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
22,"One Dance",Drake,12981,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
23,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",12642,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
24,Human,"Rag'n'Bone Man",12409,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O
25,"Scars To Your Beautiful","Alessia Cara",12305,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK
26,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",12188,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
27,"My Way","Calvin Harris",12034,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
28,"Bad Things (with Camila Cabello)","Machine Gun Kelly",11251,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj
29,"Ca Bu Fla Ma Nau",Piruka,11239,https://open.spotify.com/track/1VdIgUz8lT0JAsnMZRBHzz
30,"Só Eu Sei",Virgul,11202,https://open.spotify.com/track/4bdnmTm3yx2W5wTmTewkVD
31,"Não Se Passa Nada",Piruka,11140,https://open.spotify.com/track/7AcZsdwJFJEPxGwr2ErOvu
32,"Shed a Light","Robin Schulz",10790,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY
33,"Side To Side","Ariana Grande",10588,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
34,"In the Name of Love","Martin Garrix",10539,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
35,"La Bicicleta","Carlos Vives",10536,https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU
36,"Call On Me - Ryan Riback Extended Remix",Starley,9846,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
37,Dialeto,"Diogo Piçarra",9793,https://open.spotify.com/track/1Eq8bovIxKCDJzzWa78V7p
38,Heathens,"Twenty One Pilots",9604,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
39,"Black Beatles","Rae Sremmurd",9604,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
40,"Dancing On My Own","Calum Scott",9042,https://open.spotify.com/track/02WacdrRpm4zlP8H7X6bnQ
41,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",8970,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
42,"Treat You Better","Shawn Mendes",8958,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd
