,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",31582,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
2,"thank u, next","Ariana Grande",31568,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
3,"Devia Ir","Wet Bed Gang",28016,https://open.spotify.com/track/1ftBvRj542ol7LT1A0EtL7
4,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,26575,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
5,Shallow,"Lady Gaga",26537,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
6,Cafeína,"Dj Dadda",25152,https://open.spotify.com/track/37tlhZnzXdF5en96O1j93w
7,"MIA (feat. Drake)","Bad Bunny",23372,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
8,Happier,Marshmello,21311,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
9,"O Bebê","MC Kevinho",20192,https://open.spotify.com/track/51HrDv54pSe1IqynORNXBd
10,Better,Khalid,18396,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
11,Natural,"Imagine Dragons",17977,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
12,"Te Boté - Remix","Nio Garcia",17229,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
13,Sauce,Sippinpurpp,16425,https://open.spotify.com/track/4v5cpw1zIlqShprCCgL5UL
14,"Água de Coco (Prod. Lhast)",ProfJam,16324,https://open.spotify.com/track/4VXadgWrXnmHsWknVD2vgJ
15,"Lucid Dreams","Juice WRLD",15906,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
16,"Without Me",Halsey,15618,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
17,"NÓS2 (feat. Deezy)",Bispo,14960,https://open.spotify.com/track/4Pl3vnDKIJRQ1eXjeqimBR
18,Youngblood,"5 Seconds of Summer",14709,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
19,Moonlight,XXXTENTACION,14385,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
20,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",13940,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8
21,"Eastside (with Halsey & Khalid)","benny blanco",13499,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
22,Miúda,"Holly Hood",13467,https://open.spotify.com/track/1DHQcaZMENKPt8KBQgIr25
23,SAD!,XXXTENTACION,13419,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
24,"Better Now","Post Malone",13080,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
25,"when the party's over","Billie Eilish",12743,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
26,"Amor de Verdade","MC Kekel",12622,https://open.spotify.com/track/76KDy62J99FKu6ZsxMJy3j
27,"In My Mind",Dynoro,12614,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
28,"Falling Down - Bonus Track","Lil Peep",12351,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
29,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",12200,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA
30,"Mafiosa (feat. Caroliina)",Lartiste,12113,https://open.spotify.com/track/0WxiQqTcK3ZErx2mMWgtm6
31,"SICKO MODE","Travis Scott",12024,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
32,"Always Remember Us This Way","Lady Gaga",11581,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
33,"Woman Like Me (feat. Nicki Minaj)","Little Mix",11541,https://open.spotify.com/track/6rrTr2HEAzlpC4KWZxF3S1
34,"Sou Favela","MC Bruninho",11094,https://open.spotify.com/track/4r0K5FOCCyuAEb6BsR2ziw
35,"Mesa 8","Wet Bed Gang",10908,https://open.spotify.com/track/6ZWr4ogmKx2JlY6YOTcnON
36,"In My Feelings",Drake,10472,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
37,"Bohemian Rhapsody - Remastered 2011",Queen,10219,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
38,"Vaina Loca",Ozuna,10088,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
39,"Let You Love Me","Rita Ora",9924,https://open.spotify.com/track/6xtcFXSo8H9BZN637BMVKS
40,"Taste (feat. Offset)",Tyga,9725,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
41,"Suncity (feat. Empress Of)",Khalid,9676,https://open.spotify.com/track/4AhSkRYioEIfGvCV19peYN
42,"Kiss and Make Up","Dua Lipa",9650,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
43,Rise,"Jonas Blue",9517,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
