,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"God's Plan",Drake,29124,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
2,"All The Stars (with SZA)","Kendrick Lamar",18663,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
3,"Psycho (feat. Ty Dolla $ign)","Post Malone",18224,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF
4,FRIENDS,Marshmello,17125,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
5,IDGAF,"Dua Lipa",15917,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
6,rockstar,"Post Malone",14873,https://open.spotify.com/track/2U7Hu2RaNQNRi7izoJyZaX
7,"For You (Fifty Shades Freed) (& Rita Ora)","Liam Payne",14488,https://open.spotify.com/track/5hM6sP0Gh1jD57drszNueC
8,"Love Lies (with Normani)",Khalid,14442,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
9,"Look Alive (feat. Drake)","BlocBoy JB",14398,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
10,Mine,Bazzi,13829,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
11,"Pray For Me (with Kendrick Lamar)","The Weeknd",12892,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x
12,"Échame La Culpa","Luis Fonsi",12821,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
13,Downtown,Anitta,12423,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
14,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,12403,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
15,"O Jardim","Cláudia Pascoal",12357,https://open.spotify.com/track/6PV9CN9a7wHYPQvlXqkWwM
16,Everyday,Logic,12188,https://open.spotify.com/track/4EAV2cKiqKP5UPZmY6dejk
17,"Never Be the Same","Camila Cabello",11632,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
18,"The Middle",Zedd,11569,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
19,"Water - Single Version","Richie Campbell",11548,https://open.spotify.com/track/58dElABzeDBwfhttWGf6n1
20,"Vai malandra (feat. Tropkillaz & DJ Yuri Martins)",Anitta,11234,https://open.spotify.com/track/6u0EAxf1OJTLS7CvInuNd7
21,X,"Nicky Jam",11225,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
22,Havana,"Camila Cabello",11207,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
23,"I Fall Apart","Post Malone",10493,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
24,"New Rules","Dua Lipa",10277,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
25,"Finesse (Remix) [feat. Cardi B]","Bruno Mars",10139,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
26,"Ta Tum Tum","MC Kevinho",9762,https://open.spotify.com/track/6etab3UBCo5GOTMZqUvRka
27,"Sick Boy","The Chainsmokers",9694,https://open.spotify.com/track/2IKZkwHI5zsZf70STuhvOX
28,Heaven,"Julia Michaels",9546,https://open.spotify.com/track/4QfNOZN7vrQCQKK1ZJ3XPb
29,"Já Se Passou Tudo",Piruka,9545,https://open.spotify.com/track/2wvtEiHUoRmjrqRfOrY26B
