,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"thank u, next","Ariana Grande",29526,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
2,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,28812,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
3,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",28347,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
4,"Devia Ir","Wet Bed Gang",26722,https://open.spotify.com/track/1ftBvRj542ol7LT1A0EtL7
5,Cafeína,"Dj Dadda",26245,https://open.spotify.com/track/37tlhZnzXdF5en96O1j93w
6,"MIA (feat. Drake)","Bad Bunny",22591,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
7,"Teu Eternamente","Slow J",21618,https://open.spotify.com/track/5nXOacZiLz7b5Nds2Ouq9h
8,Sauce,Sippinpurpp,21570,https://open.spotify.com/track/4v5cpw1zIlqShprCCgL5UL
9,Happier,Marshmello,21324,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
10,Shallow,"Lady Gaga",20849,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
11,"O Bebê","MC Kevinho",18998,https://open.spotify.com/track/51HrDv54pSe1IqynORNXBd
12,"Água de Coco (Prod. Lhast)",ProfJam,17959,https://open.spotify.com/track/4VXadgWrXnmHsWknVD2vgJ
13,Better,Khalid,17862,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
14,"Te Boté - Remix","Nio Garcia",16810,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
15,"Without Me",Halsey,16481,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
16,Natural,"Imagine Dragons",16267,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT
17,"All I Want for Christmas Is You","Mariah Carey",16096,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
18,Miúda,"Holly Hood",15590,https://open.spotify.com/track/1DHQcaZMENKPt8KBQgIr25
19,Moonlight,XXXTENTACION,15279,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
