,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",48626,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",32635,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,29360,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
4,Paris,"The Chainsmokers",22390,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
5,"I Feel It Coming","The Weeknd",20416,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
6,"It Ain't Me (with Selena Gomez)",Kygo,19493,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
7,"Chantaje (feat. Maluma)",Shakira,19335,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
8,Starboy,"The Weeknd",18902,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
9,"Scared to Be Lonely","Martin Garrix",18433,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
10,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",17785,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
11,"Say You Won't Let Go","James Arthur",17462,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
12,"Castle on the Hill","Ed Sheeran",16566,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
13,"Deu Onda","MC G15",14454,https://open.spotify.com/track/0EPxmvsG1BY5td4aTOkWBF
14,"Olha a Explosão","MC Kevinho",14344,https://open.spotify.com/track/6m2LNopVJKsvBB9l7Z1rwn
15,Human,"Rag'n'Bone Man",14234,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O
16,"Call On Me - Ryan Riback Extended Remix",Starley,13828,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
17,Loucos,"Matias Damásio",13700,https://open.spotify.com/track/49Fu8EcEOZ9OnpM1XpPpyU
18,"Just Hold On","Steve Aoki",13415,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
19,"Se Não Acordar Amanhã",Piruka,13361,https://open.spotify.com/track/4oWGtWd4deNrZZOopdmCwz
20,"Bad Things (with Camila Cabello)","Machine Gun Kelly",12845,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj
21,Believer,"Imagine Dragons",12817,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
22,Cold,"Maroon 5",12670,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
23,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",12582,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
24,Issues,"Julia Michaels",12508,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
25,"Love Me Now","John Legend",12203,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89
26,Closer,"The Chainsmokers",12125,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
27,"Hear Me Now",Alok,11647,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
28,"Fake Love",Drake,11532,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
29,"Chained To The Rhythm","Katy Perry",11342,https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi
30,"Don't Wanna Know","Maroon 5",11303,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
31,"Let Me Love You","DJ Snake",11230,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
32,"Não Se Passa Nada",Piruka,11068,https://open.spotify.com/track/7AcZsdwJFJEPxGwr2ErOvu
33,Mercy,"Shawn Mendes",11036,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a
34,"24K Magic","Bruno Mars",10940,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
35,"Só Eu Sei",Virgul,10789,https://open.spotify.com/track/4bdnmTm3yx2W5wTmTewkVD
36,"Solo Dance","Martin Jensen",10508,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
37,"One Dance",Drake,10499,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
38,Weak,AJR,10329,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
39,"How Far I'll Go - From ""Moana""","Alessia Cara",10224,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
40,"I Would Like","Zara Larsson",9834,https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6
41,"Shed a Light","Robin Schulz",9624,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY
42,"I Got You","Bebe Rexha",9451,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i
43,"Scars To Your Beautiful","Alessia Cara",9414,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK
44,"Ca Bu Fla Ma Nau",Piruka,9408,https://open.spotify.com/track/1VdIgUz8lT0JAsnMZRBHzz
45,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",9259,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
46,"In the Name of Love","Martin Garrix",9220,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
47,"All Night","The Vamps",9029,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW
48,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,9010,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
49,"La Bicicleta","Carlos Vives",9000,https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU
50,"How Would You Feel (Paean)","Ed Sheeran",8045,https://open.spotify.com/track/6PJ8FF6UR8FZXfEvpHkIVN
51,Dialeto,"Diogo Piçarra",7756,https://open.spotify.com/track/1Eq8bovIxKCDJzzWa78V7p
52,"That's What I Like","Bruno Mars",7505,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
53,"Side To Side","Ariana Grande",7358,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
54,"My Way","Calvin Harris",7291,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
55,"All Time Low","Jon Bellion",7034,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m
56,"Dancing On My Own","Calum Scott",6615,https://open.spotify.com/track/02WacdrRpm4zlP8H7X6bnQ
57,"Reggaetón Lento (Bailemos)",CNCO,6598,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo
58,"Black Beatles","Rae Sremmurd",6505,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
59,Starving,"Hailee Steinfeld",6449,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe
60,História,"Diogo Piçarra",6429,https://open.spotify.com/track/14ngg5qaXPvt2rrPvMV1kC
61,"Now and Later","Sage The Gemini",6371,https://open.spotify.com/track/43jBqV3j3Xi1g6wO0bhIMd
62,"El Amante","Nicky Jam",6205,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs
63,"Don't Leave",Snakehips,6138,https://open.spotify.com/track/0Zx8khUcEfCFK2AEoIhC92
64,"Treat You Better","Shawn Mendes",6053,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd
