,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"God's Plan",Drake,28086,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
2,"Psycho (feat. Ty Dolla $ign)","Post Malone",17728,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF
3,FRIENDS,Marshmello,17489,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
4,"All The Stars (with SZA)","Kendrick Lamar",16424,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
5,X,"Nicky Jam",15631,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
6,IDGAF,"Dua Lipa",15072,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
7,SAD!,XXXTENTACION,14550,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
8,rockstar,"Post Malone",14515,https://open.spotify.com/track/2U7Hu2RaNQNRi7izoJyZaX
9,"Love Lies (with Normani)",Khalid,14471,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
10,"In My Blood","Shawn Mendes",14233,https://open.spotify.com/track/79jX8RM5CgPqDKdGEKNW9K
11,"For You (Fifty Shades Freed) (& Rita Ora)","Liam Payne",13428,https://open.spotify.com/track/5hM6sP0Gh1jD57drszNueC
12,Mine,Bazzi,13302,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
13,"Look Alive (feat. Drake)","BlocBoy JB",13239,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
14,Downtown,Anitta,12292,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
15,"Échame La Culpa","Luis Fonsi",12217,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
16,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,11909,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
17,"Pray For Me (with Kendrick Lamar)","The Weeknd",11480,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x
18,"The Middle",Zedd,11475,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
19,"Water - Single Version","Richie Campbell",11392,https://open.spotify.com/track/58dElABzeDBwfhttWGf6n1
20,Havana,"Camila Cabello",11132,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
21,Everyday,Logic,11053,https://open.spotify.com/track/4EAV2cKiqKP5UPZmY6dejk
22,"Never Be the Same","Camila Cabello",10879,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
23,"Vai malandra (feat. Tropkillaz & DJ Yuri Martins)",Anitta,10679,https://open.spotify.com/track/6u0EAxf1OJTLS7CvInuNd7
24,"New Rules","Dua Lipa",10303,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
25,"Ta Tum Tum","MC Kevinho",9911,https://open.spotify.com/track/6etab3UBCo5GOTMZqUvRka
26,"Sick Boy","The Chainsmokers",9795,https://open.spotify.com/track/2JfXj2TERIkHwJpnG9f8uX
27,"Salto Alto",Piruka,9329,https://open.spotify.com/track/3sIXzuNgN9HrC7amkEQWiP
28,Wolves,"Selena Gomez",9277,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
29,"Finesse (Remix) [feat. Cardi B]","Bruno Mars",9228,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
30,"Say Something","Justin Timberlake",9117,https://open.spotify.com/track/1LhMopPAallLeaeNutqbgS
31,"Já Se Passou Tudo",Piruka,9043,https://open.spotify.com/track/2wvtEiHUoRmjrqRfOrY26B
32,Silence,Marshmello,8946,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
33,"A Vida Toda","Carolina Deslandes",8942,https://open.spotify.com/track/1pc6Ssg5obznItjcqRFWbM
34,"Shape of You","Ed Sheeran",8866,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
35,Heaven,"Julia Michaels",8695,https://open.spotify.com/track/4QfNOZN7vrQCQKK1ZJ3XPb
36,"River (feat. Ed Sheeran)",Eminem,8657,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
37,"Chaminé (Zara G)","Wet Bed Gang",8405,https://open.spotify.com/track/53kn2KqWSG9neh5H3YQqxt
38,"Me Rehúso","Danny Ocean",8382,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
39,"I Fall Apart","Post Malone",8302,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
40,"Capital Letters","Hailee Steinfeld",8255,https://open.spotify.com/track/3towKHKVOXCCcL1fHv6xFO
41,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",8209,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
42,Dura,"Daddy Yankee",8028,https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc
43,Moonlight,XXXTENTACION,7698,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
44,"XO TOUR Llif3","Lil Uzi Vert",7692,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
45,"Like I Do","David Guetta",7663,https://open.spotify.com/track/6RnkFd8Fqqgk1Uni8RgqCQ
46,Unforgettable,"French Montana",7569,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
47,Naked,"James Arthur",7542,https://open.spotify.com/track/7krbSH3rd8lhIZvuzTV3Bl
48,Perfect,"Ed Sheeran",7527,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
49,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",7260,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
50,Corazón,Maluma,7260,https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou
51,"Feel It Still","Portugal. The Man",7241,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
52,changes,XXXTENTACION,6843,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
53,"O Clima",Lhast,6748,https://open.spotify.com/track/2KTw4vRM6mdBzMlVkInvSS
54,"Faz Gostoso",Blaya,6675,https://open.spotify.com/track/35pucCKt28NvIK88gpEEjl
55,Breathe,"Jax Jones",6192,https://open.spotify.com/track/6tvQzeCPwOytDlBYCIOY0n
56,Delicate,"Taylor Swift",6184,https://open.spotify.com/track/6NFyWDv5CjfwuzoCkw47Xf
57,"Mad Love","Sean Paul",6055,https://open.spotify.com/track/3soOPBuMK8YMdWnV7xpEyf
58,"Só Vim Dizer Yau",Piruka,5853,https://open.spotify.com/track/3WmKdTY0wtkDRd5mAsAB5i
59,"Freaky Friday (feat. Chris Brown)","Lil Dicky",5701,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
60,Slowly,"Richie Campbell",5696,https://open.spotify.com/track/0jg1Oo5WVBBgF1bWspmD1v
61,"Everybody Hates Me","The Chainsmokers",5495,https://open.spotify.com/track/3pIigjAWkzwAonXpJ1fmSF
62,"I Miss You (feat. Julia Michaels)","Clean Bandit",5413,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
63,"Him & I (with Halsey)",G-Eazy,5313,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
64,"Stir Fry",Migos,5311,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
