,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Faz Gostoso",Blaya,25082,https://open.spotify.com/track/35pucCKt28NvIK88gpEEjl
2,"God's Plan",Drake,24377,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
3,"no tears left to cry","Ariana Grande",21233,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
4,X,"Nicky Jam",21196,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
5,"Amor de Verdade","MC Kekel",20490,https://open.spotify.com/track/76KDy62J99FKu6ZsxMJy3j
6,FRIENDS,Marshmello,20039,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
7,KOD,"J. Cole",19451,https://open.spotify.com/track/7yotKA30dwTKNEGomV9ZsI
8,"Call Out My Name","The Weeknd",18347,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
9,"Psycho (feat. Ty Dolla $ign)","Post Malone",17274,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF
10,Photograph,"J. Cole",17196,https://open.spotify.com/track/0bhnUFDQFCEHCBlsQfHnj5
11,"Nice For What",Drake,17079,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
12,"One Kiss (with Dua Lipa)","Calvin Harris",15285,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
13,ATM,"J. Cole",15165,https://open.spotify.com/track/2UciqgwVDwro0fev3MFbxJ
14,"The Cut Off (feat. kiLL edward)","J. Cole",14621,https://open.spotify.com/track/3rFF7kSm5qBOOPs6ljFgPp
15,"All The Stars (with SZA)","Kendrick Lamar",14447,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
16,Motiv8,"J. Cole",14417,https://open.spotify.com/track/1AT4xjNarTswd0UZ5FlmKF
17,"Kevin’s Heart","J. Cole",14363,https://open.spotify.com/track/6tZ3b7ik1QDXFAZlXib0YZ
18,"Love Lies (with Normani)",Khalid,13898,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
19,rockstar,"Post Malone",13219,https://open.spotify.com/track/2U7Hu2RaNQNRi7izoJyZaX
20,BRACKETS,"J. Cole",12693,https://open.spotify.com/track/5sWbwccBcyHsg5LEKWGZo9
21,SAD!,XXXTENTACION,12192,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
22,Intro,"J. Cole",12159,https://open.spotify.com/track/2AfWCBwGGCsZtvVnGF3QYE
23,"Échame La Culpa","Luis Fonsi",11997,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
24,IDGAF,"Dua Lipa",11994,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
25,"Look Alive (feat. Drake)","BlocBoy JB",11506,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
26,"Ta Tum Tum","MC Kevinho",11464,https://open.spotify.com/track/6etab3UBCo5GOTMZqUvRka
27,"1985 - Intro to “The Fall Off”","J. Cole",11294,https://open.spotify.com/track/7EulRO07ZgchxqKUHb8Pvc
28,"Say Something","Justin Timberlake",11173,https://open.spotify.com/track/1LhMopPAallLeaeNutqbgS
29,Downtown,Anitta,11166,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
30,Mine,Bazzi,10954,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
31,"FRIENDS (feat. kiLL edward)","J. Cole",10934,https://open.spotify.com/track/6onwlDmIVKE8bBgyBRSuS0
32,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,10920,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
33,"Once an Addict - Interlude","J. Cole",10863,https://open.spotify.com/track/0Px86mRlxdB3YqpK6KXWlr
34,"The Middle",Zedd,10828,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
35,"A Vida Toda","Carolina Deslandes",10732,https://open.spotify.com/track/6phApqHjoCegpevdCSh331
36,"Freaky Friday (feat. Chris Brown)","Lil Dicky",10570,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
37,"Walk It Talk It",Migos,10486,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
38,"Vai malandra (feat. Tropkillaz & DJ Yuri Martins)",Anitta,10189,https://open.spotify.com/track/6u0EAxf1OJTLS7CvInuNd7
39,"In My Blood","Shawn Mendes",10161,https://open.spotify.com/track/79jX8RM5CgPqDKdGEKNW9K
40,"Window Pain - Outro","J. Cole",10121,https://open.spotify.com/track/5Lgqu1th1KqlG97OF2gWGe
41,"Water - Single Version","Richie Campbell",9774,https://open.spotify.com/track/58dElABzeDBwfhttWGf6n1
42,"Chaminé (Zara G)","Wet Bed Gang",9745,https://open.spotify.com/track/53kn2KqWSG9neh5H3YQqxt
43,Esskeetit,"Lil Pump",9712,https://open.spotify.com/track/44KKhCyI0BGS6LvVyDqJtH
44,"I Like It","Cardi B",9588,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
45,Dura,"Daddy Yankee",9581,https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc
