,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",32291,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
2,"Shape of You","Ed Sheeran",27938,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
3,"Something Just Like This","The Chainsmokers",18956,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
4,"It Ain't Me (with Selena Gomez)",Kygo,17113,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
5,Cold,"Maroon 5",16521,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
6,Paris,"The Chainsmokers",16054,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
7,Passionfruit,Drake,15766,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
8,"That's What I Like","Bruno Mars",14845,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
9,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",14766,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
10,"Scared to Be Lonely","Martin Garrix",14103,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
11,HUMBLE.,"Kendrick Lamar",13749,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
12,"You Don't Know Me - Radio Edit","Jax Jones",13687,https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY
13,"Stay (with Alessia Cara)",Zedd,13496,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
14,"Olha a Explosão","MC Kevinho",13491,https://open.spotify.com/track/6m2LNopVJKsvBB9l7Z1rwn
15,Believer,"Imagine Dragons",13102,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
16,"SUBEME LA RADIO","Enrique Iglesias",12798,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
