,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Devia Ir","Wet Bed Gang",33496,https://open.spotify.com/track/1ftBvRj542ol7LT1A0EtL7
2,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",32307,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
3,Cafeína,"Dj Dadda",29980,https://open.spotify.com/track/37tlhZnzXdF5en96O1j93w
4,"O Bebê","MC Kevinho",27677,https://open.spotify.com/track/51HrDv54pSe1IqynORNXBd
5,"MIA (feat. Drake)","Bad Bunny",24492,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
6,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,22768,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
7,Shallow,"Lady Gaga",21124,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
8,"Te Boté - Remix","Nio Garcia",20281,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
9,Happier,Marshmello,20148,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
10,"Lucid Dreams","Juice WRLD",19122,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
11,Sauce,Sippinpurpp,18678,https://open.spotify.com/track/4v5cpw1zIlqShprCCgL5UL
12,"Água de Coco (Prod. Lhast)",ProfJam,17450,https://open.spotify.com/track/4VXadgWrXnmHsWknVD2vgJ
13,Better,Khalid,17041,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
14,Miúda,"Holly Hood",16363,https://open.spotify.com/track/1DHQcaZMENKPt8KBQgIr25
15,Natural,"Imagine Dragons",16275,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
16,"NÓS2 (feat. Deezy)",Bispo,16107,https://open.spotify.com/track/4Pl3vnDKIJRQ1eXjeqimBR
17,SAD!,XXXTENTACION,15548,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
18,Youngblood,"5 Seconds of Summer",15514,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
19,"Amor de Verdade","MC Kekel",15508,https://open.spotify.com/track/76KDy62J99FKu6ZsxMJy3j
20,Moonlight,XXXTENTACION,15022,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
21,"Mafiosa (feat. Caroliina)",Lartiste,14369,https://open.spotify.com/track/0WxiQqTcK3ZErx2mMWgtm6
22,"Better Now","Post Malone",14236,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
23,"In My Feelings",Drake,13615,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
24,"Falling Down - Bonus Track","Lil Peep",13326,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
25,"Eastside (with Halsey & Khalid)","benny blanco",13308,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
26,"In My Mind",Dynoro,12838,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
27,"Mesa 8","Wet Bed Gang",12250,https://open.spotify.com/track/6ZWr4ogmKx2JlY6YOTcnON
28,"Sou Favela","MC Bruninho",12157,https://open.spotify.com/track/4r0K5FOCCyuAEb6BsR2ziw
29,"SICKO MODE","Travis Scott",11883,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
30,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",11381,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA
31,"I Love It (& Lil Pump)","Kanye West",10614,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
32,"Girls Like You (feat. Cardi B)","Maroon 5",10607,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
33,"Without Me",Halsey,10516,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
34,"Taste (feat. Offset)",Tyga,10436,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
35,Rise,"Jonas Blue",10350,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
36,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",10239,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8
37,"Chaminé (Zara G)","Wet Bed Gang",10211,https://open.spotify.com/track/53kn2KqWSG9neh5H3YQqxt
38,BEBE,6ix9ine,9936,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
39,"Não Sinto","Wet Bed Gang",9846,https://open.spotify.com/track/0YC2GENi574LpUCPEHk8qy
40,"Vaina Loca",Ozuna,9673,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
41,"Promises (with Sam Smith)","Calvin Harris",9414,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
42,"Kiss and Make Up","Dua Lipa",9176,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
43,"Suncity (feat. Empress Of)",Khalid,9166,https://open.spotify.com/track/4AhSkRYioEIfGvCV19peYN
44,"Always Remember Us This Way","Lady Gaga",9078,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
45,"Let You Love Me","Rita Ora",8990,https://open.spotify.com/track/6xtcFXSo8H9BZN637BMVKS
46,Rain,mishlawi,8956,https://open.spotify.com/track/65GMCfqsrFRDSX7OWNoJeS
47,"Sin Pijama","Becky G",8798,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
48,"Beautiful (feat. Camila Cabello)",Bazzi,8574,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
49,"Prova dos 9",Piruka,8257,https://open.spotify.com/track/7JSvz1VaPKZzQ0gRJkW95x
50,"Jocelyn Flores",XXXTENTACION,8218,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
