,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Mi Gente","J Balvin",25665,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
2,Unforgettable,"French Montana",23899,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
3,"Wild Thoughts (feat. Rihanna & Bryson Tiller)","DJ Khaled",22268,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
4,"Felices los 4",Maluma,20743,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
5,"2U (feat. Justin Bieber)","David Guetta",19049,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
6,Attention,"Charlie Puth",18177,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
7,Mama,"Jonas Blue",17526,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
8,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris",16212,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
9,"New Rules","Dua Lipa",15466,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
10,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled",15429,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
11,"Shape of You","Ed Sheeran",14143,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
12,"XO TOUR Llif3","Lil Uzi Vert",13714,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
13,"Strip That Down","Liam Payne",13652,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
14,"There's Nothing Holdin' Me Back","Shawn Mendes",13510,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
15,Thunder,"Imagine Dragons",13033,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
16,"No Promises (feat. Demi Lovato)","Cheat Codes",12406,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
17,"Despacito - Remix","Luis Fonsi",12402,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
18,"Sorry Not Sorry","Demi Lovato",12062,https://open.spotify.com/track/25C5CowdsfXld2jJanbiex
19,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",11911,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
20,"There for You","Martin Garrix",11820,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
21,Congratulations,"Post Malone",11733,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
22,"Back to You (feat. Bebe Rexha & Digital Farm Animals)","Louis Tomlinson",11712,https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6
