,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Wild Thoughts (feat. Rihanna & Bryson Tiller)","DJ Khaled",26298,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
2,Unforgettable,"French Montana",23856,https://open.spotify.com/track/1F2HXIJrE2Xn81OzT2zZvW
3,"2U (feat. Justin Bieber)","David Guetta",23544,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
4,Attention,"Charlie Puth",23249,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
5,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled",21611,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
6,"Mi Gente","J Balvin",17783,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
7,"Strip That Down","Liam Payne",17635,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
8,"Despacito - Remix","Luis Fonsi",17587,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
9,"Shape of You","Ed Sheeran",17557,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
10,Mama,"Jonas Blue",17506,https://open.spotify.com/track/4xlrALxuaCf9yZBHJeTSG6
11,"There's Nothing Holdin' Me Back","Shawn Mendes",17063,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
12,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris",16694,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
13,"XO TOUR Llif3","Lil Uzi Vert",16626,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
14,Thunder,"Imagine Dragons",16581,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
15,Congratulations,"Post Malone",16014,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
16,Believer,"Imagine Dragons",15630,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
17,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",15580,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
18,"Slide (feat. Frank Ocean & Migos)","Calvin Harris",14950,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
19,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",14849,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
20,"Felices los 4",Maluma,14785,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
21,"Crying in the Club","Camila Cabello",13971,https://open.spotify.com/track/1SJtlNRJDeYHioymcvsqev
22,"There for You","Martin Garrix",13738,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
23,"Fetish (feat. Gucci Mane)","Selena Gomez",13522,https://open.spotify.com/track/0XLOf9LhyazPX9Ld8jPiUq
24,HUMBLE.,"Kendrick Lamar",13399,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
25,Signs,Drake,12940,https://open.spotify.com/track/5EnYT6F7wEcdege6mDHEfO
26,"No Promises (feat. Demi Lovato)","Cheat Codes",12652,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
