,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"God's Plan",Drake,24343,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
2,"Call Out My Name","The Weeknd",23382,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
3,"Psycho (feat. Ty Dolla $ign)","Post Malone",16408,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF
4,FRIENDS,Marshmello,15958,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
5,X,"Nicky Jam",15732,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
6,"Try Me","The Weeknd",15522,https://open.spotify.com/track/2poOAWEj1CStqTVPgIHZ8s
7,"All The Stars (with SZA)","Kendrick Lamar",13846,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
8,"Wasted Times","The Weeknd",13825,https://open.spotify.com/track/72TyiiduRmczEbDIEtKQdR
9,SAD!,XXXTENTACION,13486,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
10,rockstar,"Post Malone",13427,https://open.spotify.com/track/2U7Hu2RaNQNRi7izoJyZaX
11,"I Was Never There","The Weeknd",12545,https://open.spotify.com/track/56d6kYZhfhzpoC3s1dRU2V
12,"Hurt You","The Weeknd",11894,https://open.spotify.com/track/13wNEvWmBsWaWVtiLPRIW5
13,"Love Lies (with Normani)",Khalid,11874,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
14,IDGAF,"Dua Lipa",11615,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
15,"Faz Gostoso",Blaya,11142,https://open.spotify.com/track/35pucCKt28NvIK88gpEEjl
16,Mine,Bazzi,10950,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
17,"In My Blood","Shawn Mendes",10842,https://open.spotify.com/track/79jX8RM5CgPqDKdGEKNW9K
18,"Ta Tum Tum","MC Kevinho",10841,https://open.spotify.com/track/6etab3UBCo5GOTMZqUvRka
19,Privilege,"The Weeknd",10837,https://open.spotify.com/track/26Fqtv4Aa7kyd1WWGHai6A
20,"Look Alive (feat. Drake)","BlocBoy JB",10609,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
21,"Échame La Culpa","Luis Fonsi",10413,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
22,"The Middle",Zedd,10226,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
23,Downtown,Anitta,9991,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
24,Havana,"Camila Cabello",9770,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
25,"Vai malandra (feat. Tropkillaz & DJ Yuri Martins)",Anitta,9734,https://open.spotify.com/track/6u0EAxf1OJTLS7CvInuNd7
26,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,9407,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
27,"Water - Single Version","Richie Campbell",9265,https://open.spotify.com/track/58dElABzeDBwfhttWGf6n1
28,"Pray For Me (with Kendrick Lamar)","The Weeknd",9087,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x
29,"Chaminé (Zara G)","Wet Bed Gang",8673,https://open.spotify.com/track/53kn2KqWSG9neh5H3YQqxt
30,"For You (Fifty Shades Freed) (& Rita Ora)","Liam Payne",8471,https://open.spotify.com/track/5hM6sP0Gh1jD57drszNueC
31,"Say Something","Justin Timberlake",8332,https://open.spotify.com/track/1LhMopPAallLeaeNutqbgS
32,"New Rules","Dua Lipa",8138,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
33,"Never Be the Same","Camila Cabello",7995,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
34,"Salto Alto",Piruka,7984,https://open.spotify.com/track/3sIXzuNgN9HrC7amkEQWiP
35,"Freaky Friday (feat. Chris Brown)","Lil Dicky",7816,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
36,Everyday,Logic,7753,https://open.spotify.com/track/4EAV2cKiqKP5UPZmY6dejk
37,Dura,"Daddy Yankee",7646,https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc
38,Silence,Marshmello,7533,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
39,"Já Se Passou Tudo",Piruka,7328,https://open.spotify.com/track/2wvtEiHUoRmjrqRfOrY26B
40,"XO TOUR Llif3","Lil Uzi Vert",7249,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
41,Moonlight,XXXTENTACION,7247,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
42,Wolves,"Selena Gomez",7217,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
43,Indecente,Anitta,7209,https://open.spotify.com/track/5FOCkGt7bp22nBVfQ4WSIT
44,"Me Rehúso","Danny Ocean",7061,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
45,"River (feat. Ed Sheeran)",Eminem,6991,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
46,"Lost In Japan","Shawn Mendes",6940,https://open.spotify.com/track/7wvYmO5QscgIDDT0eNwbYX
47,"Shape of You","Ed Sheeran",6912,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
48,"I Fall Apart","Post Malone",6881,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
49,"A Vida Toda","Carolina Deslandes",6791,https://open.spotify.com/track/1pc6Ssg5obznItjcqRFWbM
50,"Finesse (Remix) [feat. Cardi B]","Bruno Mars",6531,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
51,Unforgettable,"French Montana",6517,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
52,"Sick Boy","The Chainsmokers",6487,https://open.spotify.com/track/2JfXj2TERIkHwJpnG9f8uX
53,changes,XXXTENTACION,6418,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
54,Corazón,Maluma,6385,https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou
55,Perfect,"Ed Sheeran",6109,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
56,Naked,"James Arthur",5787,https://open.spotify.com/track/7krbSH3rd8lhIZvuzTV3Bl
57,Heaven,"Julia Michaels",5345,https://open.spotify.com/track/4QfNOZN7vrQCQKK1ZJ3XPb
58,Barking,Ramz,5229,https://open.spotify.com/track/7amMgNDcObIDkIXv4xcvc2
59,"Mad Love","Sean Paul",5218,https://open.spotify.com/track/3soOPBuMK8YMdWnV7xpEyf
60,"Walk It Talk It",Migos,5143,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
61,"Like I Do","David Guetta",5126,https://open.spotify.com/track/6RnkFd8Fqqgk1Uni8RgqCQ
62,"O Clima",Lhast,4961,https://open.spotify.com/track/2KTw4vRM6mdBzMlVkInvSS
63,Rabiola,"MC Kevinho",4944,https://open.spotify.com/track/228vRHzGfQh47EfLjuY1Yr
64,"Plug Walk","Rich The Kid",4860,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
65,Slowly,"Richie Campbell",4747,https://open.spotify.com/track/0jg1Oo5WVBBgF1bWspmD1v
