,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"God's Plan",Drake,24724,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
2,rockstar,"Post Malone",20583,https://open.spotify.com/track/1OmcAT5Y8eg5bUPv9qJT4R
3,"Vai malandra (feat. Tropkillaz & DJ Yuri Martins)",Anitta,19540,https://open.spotify.com/track/6u0EAxf1OJTLS7CvInuNd7
4,"Échame La Culpa","Luis Fonsi",18433,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
5,"All The Stars (with SZA)","Kendrick Lamar",17687,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
6,Havana,"Camila Cabello",17177,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
7,"Water - Single Version","Richie Campbell",16667,https://open.spotify.com/track/58dElABzeDBwfhttWGf6n1
8,Downtown,Anitta,15878,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
9,IDGAF,"Dua Lipa",13596,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
10,"Salto Alto",Piruka,13574,https://open.spotify.com/track/3sIXzuNgN9HrC7amkEQWiP
11,"Pray For Me (with Kendrick Lamar)","The Weeknd",13176,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x
12,"Até Ao Fim",Agir,13045,https://open.spotify.com/track/5PvAlFxlJrW8vjkdfvE6no
13,"Never Be the Same","Camila Cabello",12944,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
14,Silence,Marshmello,12854,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
15,"River (feat. Ed Sheeran)",Eminem,12784,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
16,"Finesse (Remix) [feat. Cardi B]","Bruno Mars",12461,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
