,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Starboy,"The Weeknd",25421,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
2,"Say You Won't Let Go","James Arthur",18154,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
3,"I Feel It Coming","The Weeknd",17479,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
4,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",17064,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
5,Closer,"The Chainsmokers",16786,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
6,"Chantaje (feat. Maluma)",Shakira,16442,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
7,"Let Me Love You","DJ Snake",16261,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
8,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,15926,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
9,Mercy,"Shawn Mendes",15565,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a
10,"Don't Wanna Know","Maroon 5",15083,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
11,"24K Magic","Bruno Mars",14873,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
12,"One Dance",Drake,14078,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
13,"Fake Love",Drake,13507,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
14,Loucos,"Matias Damásio",13179,https://open.spotify.com/track/49Fu8EcEOZ9OnpM1XpPpyU
15,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",12993,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
16,"Black Beatles","Rae Sremmurd",12072,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
17,"Side To Side","Ariana Grande",11790,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
18,"Scars To Your Beautiful","Alessia Cara",11620,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK
19,"In the Name of Love","Martin Garrix",11550,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
20,"Treat You Better","Shawn Mendes",10763,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd
21,"Love Me Now","John Legend",10731,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89
22,"My Way","Calvin Harris",10612,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
23,"Just Hold On","Steve Aoki",10605,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
24,"Só Eu Sei",Virgul,10477,https://open.spotify.com/track/4bdnmTm3yx2W5wTmTewkVD
