,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Mi Gente","J Balvin",25882,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
2,Unforgettable,"French Montana",24537,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
3,"Wild Thoughts (feat. Rihanna & Bryson Tiller)","DJ Khaled",24315,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
4,"2U (feat. Justin Bieber)","David Guetta",20506,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
5,"Felices los 4",Maluma,19931,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
6,Attention,"Charlie Puth",19707,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
7,Mama,"Jonas Blue",18274,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
8,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris",17740,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
9,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled",17167,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
10,"Shape of You","Ed Sheeran",15435,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
11,"XO TOUR Llif3","Lil Uzi Vert",14847,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
12,"Strip That Down","Liam Payne",14832,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
13,"New Rules","Dua Lipa",14687,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
14,"There's Nothing Holdin' Me Back","Shawn Mendes",14495,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
15,"Despacito - Remix","Luis Fonsi",14034,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
16,Thunder,"Imagine Dragons",13933,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
17,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",13082,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
18,Believer,"Imagine Dragons",12738,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
19,"There for You","Martin Garrix",12711,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
20,"No Promises (feat. Demi Lovato)","Cheat Codes",12399,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
21,"Sorry Not Sorry","Demi Lovato",12197,https://open.spotify.com/track/25C5CowdsfXld2jJanbiex
22,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",12062,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
23,Congratulations,"Post Malone",11992,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
24,HUMBLE.,"Kendrick Lamar",11930,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
25,"Back to You (feat. Bebe Rexha & Digital Farm Animals)","Louis Tomlinson",11527,https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6
26,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)","Major Lazer",11141,https://open.spotify.com/track/3Ytr1SUCUi6J3L9dRFx5iH
27,"Crying in the Club","Camila Cabello",11029,https://open.spotify.com/track/1SJtlNRJDeYHioymcvsqev
28,"Sua cara (feat. Anitta & Pabllo Vittar)","Major Lazer",10640,https://open.spotify.com/track/3ibRxEv4KkcU9e259eyNJA
29,"Something Just Like This","The Chainsmokers",10389,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
30,"Fetish (feat. Gucci Mane)","Selena Gomez",10254,https://open.spotify.com/track/0XLOf9LhyazPX9Ld8jPiUq
31,"Bad Liar","Selena Gomez",10028,https://open.spotify.com/track/1sCxVKWImDZSZKvG0U9B23
32,"Me Rehúso","Danny Ocean",9885,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
