,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",39286,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
2,"Shape of You","Ed Sheeran",37924,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
3,"Something Just Like This","The Chainsmokers",27641,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
4,"It Ain't Me (with Selena Gomez)",Kygo,25239,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
5,Cold,"Maroon 5",24399,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
6,Passionfruit,Drake,22383,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
7,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",21970,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
8,Paris,"The Chainsmokers",21760,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
9,"That's What I Like","Bruno Mars",21536,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
10,"Stay (with Alessia Cara)",Zedd,20806,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
11,"Scared to Be Lonely","Martin Garrix",20535,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
12,HUMBLE.,"Kendrick Lamar",20529,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
13,Believer,"Imagine Dragons",19549,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
14,"You Don't Know Me - Radio Edit","Jax Jones",19456,https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY
15,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,17858,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
16,"SUBEME LA RADIO","Enrique Iglesias",17610,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
17,"Slide (feat. Frank Ocean & Migos)","Calvin Harris",17231,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
18,"Mask Off",Future,17130,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
19,Issues,"Julia Michaels",16693,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
20,"Olha a Explosão","MC Kevinho",16636,https://open.spotify.com/track/6m2LNopVJKsvBB9l7Z1rwn
21,"Symphony (feat. Zara Larsson)","Clean Bandit",16531,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
22,"I Feel It Coming","The Weeknd",15597,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
23,"Galway Girl","Ed Sheeran",15581,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
24,"Chantaje (feat. Maluma)",Shakira,15577,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
25,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",15570,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
26,Starboy,"The Weeknd",14475,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
27,"Sign of the Times","Harry Styles",14165,https://open.spotify.com/track/5Ohxk2dO5COHF1krpoPigN
28,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",13878,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
29,"Call On Me - Ryan Riback Extended Remix",Starley,13757,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
30,"Solo Dance","Martin Jensen",13365,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
31,"Castle on the Hill","Ed Sheeran",12911,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
32,"Chained To The Rhythm","Katy Perry",12873,https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi
33,Selfish,Future,12673,https://open.spotify.com/track/2Ce5IyMlVRVvN997ZJjJJA
34,"Wake N Bake",Regula,12421,https://open.spotify.com/track/5hmOBifAAsfEhUxtK6xiEb
