,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Wild Thoughts (feat. Rihanna & Bryson Tiller)","DJ Khaled",20546,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
2,Unforgettable,"French Montana",19621,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
3,"Mi Gente","J Balvin",17562,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
4,Attention,"Charlie Puth",16380,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
5,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled",16037,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
6,"Felices los 4",Maluma,15707,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
7,"2U (feat. Justin Bieber)","David Guetta",14686,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
8,Mama,"Jonas Blue",14424,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
9,"Shape of You","Ed Sheeran",13590,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
10,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",12829,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
11,"Despacito - Remix","Luis Fonsi",12827,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
12,"There's Nothing Holdin' Me Back","Shawn Mendes",12391,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
13,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",12339,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
14,Congratulations,"Post Malone",12066,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
15,"Strip That Down","Liam Payne",12047,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
16,"XO TOUR Llif3","Lil Uzi Vert",12003,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
