,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Devia Ir","Wet Bed Gang",37338,https://open.spotify.com/track/1ftBvRj542ol7LT1A0EtL7
2,"O Bebê","MC Kevinho",32068,https://open.spotify.com/track/51HrDv54pSe1IqynORNXBd
3,Cafeína,"Dj Dadda",30521,https://open.spotify.com/track/37tlhZnzXdF5en96O1j93w
4,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",26982,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
5,"Lucid Dreams","Juice WRLD",21685,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
6,"Te Boté - Remix","Nio Garcia",21637,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
7,Happier,Marshmello,19720,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
8,"NÓS2 (feat. Deezy)",Bispo,18898,https://open.spotify.com/track/4Pl3vnDKIJRQ1eXjeqimBR
9,"Mafiosa (feat. Caroliina)",Lartiste,18801,https://open.spotify.com/track/0WxiQqTcK3ZErx2mMWgtm6
10,Sauce,Sippinpurpp,18775,https://open.spotify.com/track/4v5cpw1zIlqShprCCgL5UL
11,"Água de Coco (Prod. Lhast)",ProfJam,17875,https://open.spotify.com/track/4VXadgWrXnmHsWknVD2vgJ
12,"MIA (feat. Drake)","Bad Bunny",17667,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
13,Miúda,"Holly Hood",16851,https://open.spotify.com/track/1DHQcaZMENKPt8KBQgIr25
14,SAD!,XXXTENTACION,16585,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
15,"In My Feelings",Drake,16494,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
16,"Falling Down - Bonus Track","Lil Peep",16403,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
17,Natural,"Imagine Dragons",16170,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
18,"Amor de Verdade","MC Kekel",15806,https://open.spotify.com/track/76KDy62J99FKu6ZsxMJy3j
19,"In My Mind",Dynoro,15676,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
20,Moonlight,XXXTENTACION,15592,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
21,"Eastside (with Halsey & Khalid)","benny blanco",15196,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
22,"I Love It (& Lil Pump)","Kanye West",14963,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
23,Better,Khalid,14339,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
24,"Mesa 8","Wet Bed Gang",14314,https://open.spotify.com/track/6ZWr4ogmKx2JlY6YOTcnON
25,Youngblood,"5 Seconds of Summer",14303,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
26,"Better Now","Post Malone",14136,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
27,"Girls Like You (feat. Cardi B)","Maroon 5",12713,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
28,Shallow,"Lady Gaga",12153,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
29,"Promises (with Sam Smith)","Calvin Harris",11685,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
30,"Taste (feat. Offset)",Tyga,11670,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
31,Rise,"Jonas Blue",11670,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
32,"Din Din Din (Participação especial de MC Pupio e MC Doguinha)",Ludmilla,11370,https://open.spotify.com/track/78Q2gghkt8iLJ7J0Uc4QYb
33,"Chaminé (Zara G)","Wet Bed Gang",11139,https://open.spotify.com/track/53kn2KqWSG9neh5H3YQqxt
34,BEBE,6ix9ine,10948,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
35,"Não Sinto","Wet Bed Gang",10458,https://open.spotify.com/track/0YC2GENi574LpUCPEHk8qy
36,"Vaina Loca",Ozuna,10296,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
37,Rain,mishlawi,10216,https://open.spotify.com/track/65GMCfqsrFRDSX7OWNoJeS
38,"Electricity (with Dua Lipa)","Silk City",9908,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
39,"Prova dos 9",Piruka,9606,https://open.spotify.com/track/7JSvz1VaPKZzQ0gRJkW95x
40,"Sou Favela","MC Bruninho",9454,https://open.spotify.com/track/4r0K5FOCCyuAEb6BsR2ziw
41,"SICKO MODE","Travis Scott",9399,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
42,"Solo (feat. Demi Lovato)","Clean Bandit",9314,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
43,"Beautiful (feat. Camila Cabello)",Bazzi,9311,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
44,"1100 Cegonhas - Prod. Here's Jhonny",Dillaz,9039,https://open.spotify.com/track/2z8miBNCvH52PnK5vfeXm8
45,"Faz Gostoso",Blaya,8962,https://open.spotify.com/track/35pucCKt28NvIK88gpEEjl
46,"Sin Pijama","Becky G",8925,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
47,"Jocelyn Flores",XXXTENTACION,8894,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
48,"Lucky You (feat. Joyner Lucas)",Eminem,8789,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
49,"Without Me",Halsey,8469,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
50,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",8411,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA
51,Nevermind,"Dennis Lloyd",8258,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
52,"Jackie Chan",Tiësto,8111,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
53,"Coração Não Tem Idade (Vou Beijar)",Toy,8056,https://open.spotify.com/track/42RynyXHcGYj6Cvwrh7eIZ
54,"I Like It","Cardi B",8042,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
55,"Dona Maria","Thiago Brava",8034,https://open.spotify.com/track/0dGqIEsFN3KakdPCMkgjre
56,changes,XXXTENTACION,7692,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
57,"Be Alright","Dean Lewis",7608,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
58,Aleluia,"Wet Bed Gang",7536,https://open.spotify.com/track/3nOdmaNfqskNaYpBGPLDdG
59,"Love Lies (with Normani)",Khalid,7258,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
60,"X - Remix","Nicky Jam",7115,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw
61,"Venom - Music From The Motion Picture",Eminem,7101,https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4
62,"PASS OUT (feat. 21 Savage)",Quavo,7045,https://open.spotify.com/track/3edzl4zvKFi0D3iuF6cs2f
63,"One Kiss (with Dua Lipa)","Calvin Harris",6961,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
64,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,6961,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
65,"Não Tens Visto","Wet Bed Gang",6861,https://open.spotify.com/track/3WzINtpiKu6mwJu8ax7EdC
66,"This Feeling (feat. Kelsea Ballerini)","The Chainsmokers",6854,https://open.spotify.com/track/15kQGEy89K8deJcZVFEn0N
67,"Salto Alto",Piruka,6769,https://open.spotify.com/track/3sIXzuNgN9HrC7amkEQWiP
68,"Woman Like Me (feat. Nicki Minaj)","Little Mix",6547,https://open.spotify.com/track/6rrTr2HEAzlpC4KWZxF3S1
69,"God is a woman","Ariana Grande",6403,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
70,STOOPID,6ix9ine,6354,https://open.spotify.com/track/1jQvUmf16VE9WQCPuK2e8K
71,"Vai malandra (feat. Tropkillaz & DJ Yuri Martins)",Anitta,6298,https://open.spotify.com/track/6u0EAxf1OJTLS7CvInuNd7
72,"God's Plan",Drake,6212,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
73,"Mo Boy",Dillaz,6203,https://open.spotify.com/track/0A3b3cu2JPBUTGC6qJEqUy
74,"Ta Tum Tum","MC Kevinho",6200,https://open.spotify.com/track/6etab3UBCo5GOTMZqUvRka
75,"rockstar (feat. 21 Savage)","Post Malone",6186,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
76,"Let You Love Me","Rita Ora",6182,https://open.spotify.com/track/6xtcFXSo8H9BZN637BMVKS
77,"No Brainer","DJ Khaled",6014,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
