,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",38670,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
2,"Shape of You","Ed Sheeran",35825,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
3,"Something Just Like This","The Chainsmokers",25888,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
4,"It Ain't Me (with Selena Gomez)",Kygo,24991,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
5,Cold,"Maroon 5",22519,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
6,Passionfruit,Drake,21173,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
7,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",21083,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
8,Paris,"The Chainsmokers",20964,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
9,"Scared to Be Lonely","Martin Garrix",20267,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
10,HUMBLE.,"Kendrick Lamar",20063,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
11,"Stay (with Alessia Cara)",Zedd,19854,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
12,"That's What I Like","Bruno Mars",19712,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
13,Believer,"Imagine Dragons",18854,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
14,"SUBEME LA RADIO","Enrique Iglesias",17462,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
15,"You Don't Know Me - Radio Edit","Jax Jones",16726,https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY
16,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,16512,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
17,"Slide (feat. Frank Ocean & Migos)","Calvin Harris",16473,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
18,"Symphony (feat. Zara Larsson)","Clean Bandit",15928,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
19,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",15673,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
20,"Mask Off",Future,15642,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
21,Issues,"Julia Michaels",15614,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
22,"Olha a Explosão","MC Kevinho",15545,https://open.spotify.com/track/6m2LNopVJKsvBB9l7Z1rwn
23,"Chantaje (feat. Maluma)",Shakira,15164,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
24,"Galway Girl","Ed Sheeran",14573,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
