,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",48768,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",46854,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,25415,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
4,"It Ain't Me (with Selena Gomez)",Kygo,24451,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
5,Cold,"Maroon 5",23759,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
6,"Something Just Like This","The Chainsmokers",23636,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
7,Paris,"The Chainsmokers",22380,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
8,"Scared to Be Lonely","Martin Garrix",21658,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
9,"Galway Girl","Ed Sheeran",21050,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
10,"Castle on the Hill","Ed Sheeran",21038,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
11,Believer,"Imagine Dragons",20496,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
12,"I Feel It Coming","The Weeknd",19488,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
13,"That's What I Like","Bruno Mars",19056,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
14,"Stay (with Alessia Cara)",Zedd,18465,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
15,"Olha a Explosão","MC Kevinho",17751,https://open.spotify.com/track/6m2LNopVJKsvBB9l7Z1rwn
16,"Chained To The Rhythm","Katy Perry",17197,https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi
17,"Green Light",Lorde,17033,https://open.spotify.com/track/0gbBzIqrECJOEPvQJIBFs5
18,"Chantaje (feat. Maluma)",Shakira,16340,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
19,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",16150,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
20,Issues,"Julia Michaels",16005,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
21,Starboy,"The Weeknd",15859,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
22,"Say You Won't Let Go","James Arthur",15493,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
23,Perfect,"Ed Sheeran",15001,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
24,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",14439,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
25,"Call On Me - Ryan Riback Extended Remix",Starley,13717,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
26,"Just Hold On","Steve Aoki",13492,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
27,"You Don't Know Me - Radio Edit","Jax Jones",13027,https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY
28,Dive,"Ed Sheeran",12613,https://open.spotify.com/track/51ChrwmUPDJvedPQnIU8Ls
29,"Slide (feat. Frank Ocean & Migos)","Calvin Harris",12464,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
30,Happier,"Ed Sheeran",12115,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
31,"SUBEME LA RADIO","Enrique Iglesias",12086,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
32,"I Got You","Bebe Rexha",12060,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i
33,"Solo Dance","Martin Jensen",11997,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
34,Weak,AJR,11799,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
35,Human,"Rag'n'Bone Man",11595,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O
36,"Deu Onda","MC G15",11346,https://open.spotify.com/track/0EPxmvsG1BY5td4aTOkWBF
37,"How Far I'll Go - From ""Moana""","Alessia Cara",10925,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
38,"Se Não Acordar Amanhã",Piruka,10805,https://open.spotify.com/track/4oWGtWd4deNrZZOopdmCwz
39,Closer,"The Chainsmokers",10467,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
40,"Love On The Brain",Rihanna,10450,https://open.spotify.com/track/2aksifNn5ph8igDOkPBA02
41,Loucos,"Matias Damásio",10354,https://open.spotify.com/track/49Fu8EcEOZ9OnpM1XpPpyU
42,"Não Se Passa Nada",Piruka,10123,https://open.spotify.com/track/7AcZsdwJFJEPxGwr2ErOvu
43,"New Man","Ed Sheeran",10107,https://open.spotify.com/track/5HDPtsnyb3maFmPL8LLUTG
44,"What Do I Know?","Ed Sheeran",10074,https://open.spotify.com/track/2pJZ1v8HezrAoZ0Fhzby92
45,"How Would You Feel (Paean)","Ed Sheeran",9669,https://open.spotify.com/track/6PJ8FF6UR8FZXfEvpHkIVN
46,"Love Me Now","John Legend",9156,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89
47,"Supermarket Flowers","Ed Sheeran",8889,https://open.spotify.com/track/4VuS959DSpr82t3qBqCrWG
48,Barcelona,"Ed Sheeran",8786,https://open.spotify.com/track/3Lfiu5sZ4M4B6JaKMBc0FU
49,"Fake Love",Drake,8717,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
50,"All Night","The Vamps",8430,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW
51,"Só Existo Contigo","Diogo Piçarra",8417,https://open.spotify.com/track/7aaBhHFVsktJo768Jg6kiL
52,"iSpy (feat. Lil Yachty)",KYLE,8292,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
53,"Hear Me Now",Alok,8068,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
54,"El Amante","Nicky Jam",8039,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs
55,Eraser,"Ed Sheeran",7993,https://open.spotify.com/track/7oolFzHipTMg2nL7shhdz2
56,"Só Eu Sei",Virgul,7976,https://open.spotify.com/track/4bdnmTm3yx2W5wTmTewkVD
57,Congratulations,"Post Malone",7823,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
58,"Let Me Love You","DJ Snake",7602,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
59,"Mask Off",Future,7549,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
60,"24K Magic","Bruno Mars",7307,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
61,"All Time Low","Jon Bellion",7231,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m
62,Selfish,Future,7148,https://open.spotify.com/track/2Ce5IyMlVRVvN997ZJjJJA
63,Mercy,"Shawn Mendes",7075,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a
64,História,"Diogo Piçarra",7061,https://open.spotify.com/track/14ngg5qaXPvt2rrPvMV1kC
65,"Scars To Your Beautiful","Alessia Cara",7027,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK
66,"One Dance",Drake,6971,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
67,"Reggaetón Lento (Bailemos)",CNCO,6779,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo
68,"Hearts Don't Break Around Here","Ed Sheeran",6635,https://open.spotify.com/track/2dfHh7ECGxfNqZTQno09Vk
69,"September Song","JP Cooper",6610,https://open.spotify.com/track/0FuTx2s3YH1ppmtiM6l0zI
70,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,6610,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
