,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"thank u, next","Ariana Grande",28050,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
2,"Devia Ir","Wet Bed Gang",25272,https://open.spotify.com/track/1ftBvRj542ol7LT1A0EtL7
3,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,25206,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
4,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",24784,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
5,"Without Me",Halsey,23251,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
6,Cafeína,"Dj Dadda",22934,https://open.spotify.com/track/37tlhZnzXdF5en96O1j93w
7,Shallow,"Lady Gaga",21944,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
8,"MIA (feat. Drake)","Bad Bunny",21928,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
9,"Teu Eternamente","Slow J",21307,https://open.spotify.com/track/5nXOacZiLz7b5Nds2Ouq9h
10,"Tou Bem (feat. Lhast)",ProfJam,20526,https://open.spotify.com/track/4c5yphfLxbguggPnS6Wibq
11,Better,Khalid,19262,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
12,Happier,Marshmello,18688,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
13,Sauce,Sippinpurpp,18678,https://open.spotify.com/track/4v5cpw1zIlqShprCCgL5UL
14,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",17280,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
15,"Água de Coco (Prod. Lhast)",ProfJam,17247,https://open.spotify.com/track/4VXadgWrXnmHsWknVD2vgJ
16,"O Bebê","MC Kevinho",15966,https://open.spotify.com/track/51HrDv54pSe1IqynORNXBd
17,"Te Boté - Remix","Nio Garcia",15250,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
18,Natural,"Imagine Dragons",14604,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT
19,"All I Want for Christmas Is You","Mariah Carey",14570,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
20,Miúda,"Holly Hood",14479,https://open.spotify.com/track/1DHQcaZMENKPt8KBQgIr25
21,"Sou Favela","MC Bruninho",13849,https://open.spotify.com/track/4r0K5FOCCyuAEb6BsR2ziw
22,Moonlight,XXXTENTACION,13512,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
23,"Agora é Tudo Meu","Dennis DJ",13452,https://open.spotify.com/track/5yH8pYxNckOU1cxfPsMIaz
24,"Lucid Dreams","Juice WRLD",13289,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
25,"Happy Day","Deejay Telio",12827,https://open.spotify.com/track/4HkmUlLklTFzOIufppSf0e
26,SAD!,XXXTENTACION,12757,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
27,"NÓS2 (feat. Deezy)",Bispo,12730,https://open.spotify.com/track/4Pl3vnDKIJRQ1eXjeqimBR
28,"Eastside (with Halsey & Khalid)","benny blanco",12539,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
29,"Love Someone","Lukas Graham",12410,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
30,"In My Mind",Dynoro,12056,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
31,"SICKO MODE","Travis Scott",12033,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
32,"Better Now","Post Malone",11492,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
33,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",11476,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
34,Youngblood,"5 Seconds of Summer",11227,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
35,"Amor de Verdade","MC Kekel",11107,https://open.spotify.com/track/76KDy62J99FKu6ZsxMJy3j
36,"Mafiosa (feat. Caroliina)",Lartiste,11047,https://open.spotify.com/track/0WxiQqTcK3ZErx2mMWgtm6
37,imagine,"Ariana Grande",11025,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F
38,"Bad Liar","Imagine Dragons",10347,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
39,"Last Christmas",Wham!,10339,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
40,"Parado no Bailão","MC L da Vinte",10305,https://open.spotify.com/track/3Hb9kUdm4yf839Fle4RIdT
41,"Mo Bamba","Sheck Wes",9973,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
42,BAD!,XXXTENTACION,9930,https://open.spotify.com/track/22An65gG31JLf9n18qjdhZ
43,"Santa Tell Me","Ariana Grande",9674,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
44,"23 de Maio","Wet Bed Gang",9600,https://open.spotify.com/track/6dtDzWzfREiF37jPhcfja5
45,"when the party's over","Billie Eilish",9584,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
46,"Going Bad (feat. Drake)","Meek Mill",9117,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
47,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",9110,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
48,"Mesa 8","Wet Bed Gang",9103,https://open.spotify.com/track/6ZWr4ogmKx2JlY6YOTcnON
49,"Bohemian Rhapsody - Remastered 2011",Queen,9068,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
50,"Vaina Loca",Ozuna,9052,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
51,"Não Sinto","Wet Bed Gang",8923,https://open.spotify.com/track/0YC2GENi574LpUCPEHk8qy
52,"Saturday Nights",Khalid,8748,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
53,"It's Beginning to Look a Lot Like Christmas","Michael Bublé",8722,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
54,"Beautiful (feat. Camila Cabello)",Bazzi,8578,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
55,Rise,"Jonas Blue",8565,https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx
56,"Girls Like You (feat. Cardi B)","Maroon 5",8177,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
57,"TIC TOC (feat. Lil Baby)",6ix9ine,7966,https://open.spotify.com/track/4m5Cd9kAbIxg6t9sMrQWtk
58,"Jingle Bell Rock","Bobby Helms",7949,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
59,"Sweet but Psycho","Ava Max",7932,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
60,"Woman Like Me (feat. Nicki Minaj)","Little Mix",7929,https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED
61,"Sendo Assim","Sam The Kid",7857,https://open.spotify.com/track/1PioBX3KlN13IXB014CFF6
62,Veneno,Anitta,7820,https://open.spotify.com/track/1KFN3kB4hc6r7ILpifFsqf
63,"whoa (mind in awe)",XXXTENTACION,7776,https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa
64,"Ruin My Life","Zara Larsson",7573,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
65,"Chaminé (Zara G)","Wet Bed Gang",7542,https://open.spotify.com/track/53kn2KqWSG9neh5H3YQqxt
66,"Taste (feat. Offset)",Tyga,7527,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
67,Rain,mishlawi,7478,https://open.spotify.com/track/65GMCfqsrFRDSX7OWNoJeS
68,"In My Feelings",Drake,7466,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
69,"1100 Cegonhas - Prod. Here's Jhonny",Dillaz,7356,https://open.spotify.com/track/2z8miBNCvH52PnK5vfeXm8
70,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",7180,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
71,"Love Lies (with Normani)",Khalid,7100,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
72,"Jocelyn Flores",XXXTENTACION,7059,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
73,"Be Alright","Dean Lewis",7005,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
74,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",6954,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
75,"Salto Alto",Piruka,6907,https://open.spotify.com/track/3sIXzuNgN9HrC7amkEQWiP
76,"Leave Me Alone","Flipp Dinero",6882,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
77,"Always Remember Us This Way","Lady Gaga",6646,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
78,"rockstar (feat. 21 Savage)","Post Malone",6641,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
79,"Falling Down - Bonus Track","Lil Peep",6488,https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9
80,"Let You Love Me","Rita Ora",6461,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP
81,"High Hopes","Panic! At The Disco",6451,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
82,Aleluia,"Wet Bed Gang",6443,https://open.spotify.com/track/3nOdmaNfqskNaYpBGPLDdG
