,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Wild Thoughts (feat. Rihanna & Bryson Tiller)","DJ Khaled",27104,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
2,Unforgettable,"French Montana",23741,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
3,,,23510,https://open.spotify.com/track/3RXkboS74UYzN14xTqzPyY
4,"Mi Gente","J Balvin",22990,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
5,"In The End","Linkin Park",20909,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq
6,Attention,"Charlie Puth",20661,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
7,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled",19774,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
8,Numb,"Linkin Park",18702,https://open.spotify.com/track/2nLtzopw4rPReszdYBJU6h
9,Mama,"Jonas Blue",17381,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
10,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris",17171,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
11,"Felices los 4",Maluma,17114,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
12,"Despacito - Remix","Luis Fonsi",16952,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
13,"Shape of You","Ed Sheeran",16594,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
14,"There's Nothing Holdin' Me Back","Shawn Mendes",16534,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
15,"Strip That Down","Liam Payne",16372,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
16,Thunder,"Imagine Dragons",15624,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
17,"Heavy (feat. Kiiara)","Linkin Park",15553,https://open.spotify.com/track/104buTcnP2AsxqB7U1FIZ4
18,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",15129,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
