,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Mi Gente","J Balvin",25025,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
2,Unforgettable,"French Montana",22483,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
3,"Felices los 4",Maluma,22082,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
4,"Wild Thoughts (feat. Rihanna & Bryson Tiller)","DJ Khaled",18913,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
5,"New Rules","Dua Lipa",17259,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
6,"2U (feat. Justin Bieber)","David Guetta",16640,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
7,Mama,"Jonas Blue",16259,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
8,Attention,"Charlie Puth",15731,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
9,"Friends (with BloodPop®)","Justin Bieber",15267,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz
10,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris",14933,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
11,"XO TOUR Llif3","Lil Uzi Vert",14616,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
12,"Sua cara (feat. Anitta & Pabllo Vittar)","Major Lazer",14367,https://open.spotify.com/track/3ibRxEv4KkcU9e259eyNJA
13,"Look What You Made Me Do","Taylor Swift",13440,https://open.spotify.com/track/2VjtYe7gpfUi2OkGxR2O2z
14,"Me Rehúso","Danny Ocean",12622,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
15,Congratulations,"Post Malone",12477,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
16,"Shape of You","Ed Sheeran",12464,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
17,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled",12149,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
18,"Sorry Not Sorry","Demi Lovato",12135,https://open.spotify.com/track/25C5CowdsfXld2jJanbiex
19,"Strip That Down","Liam Payne",11527,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
20,Havana,"Camila Cabello",11497,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
21,"There's Nothing Holdin' Me Back","Shawn Mendes",11343,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
22,Thunder,"Imagine Dragons",11306,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
23,"Back to You (feat. Bebe Rexha & Digital Farm Animals)","Louis Tomlinson",11091,https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6
24,HUMBLE.,"Kendrick Lamar",10839,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
