,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",53635,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,26560,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
3,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",24060,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
4,"Chantaje (feat. Maluma)",Shakira,23082,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
5,Paris,"The Chainsmokers",22767,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
6,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",20906,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
7,Starboy,"The Weeknd",20080,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
8,"I Feel It Coming","The Weeknd",19582,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
9,"Say You Won't Let Go","James Arthur",19163,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
10,"Castle on the Hill","Ed Sheeran",18152,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
11,"Scared to Be Lonely","Martin Garrix",15629,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
12,"Deu Onda","MC G15",15621,https://open.spotify.com/track/0EPxmvsG1BY5td4aTOkWBF
13,"Love Me Now","John Legend",15502,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89
14,"Don't Wanna Know","Maroon 5",15062,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
15,"Just Hold On","Steve Aoki",14597,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
16,Loucos,"Matias Damásio",14132,https://open.spotify.com/track/49Fu8EcEOZ9OnpM1XpPpyU
17,Human,"Rag'n'Bone Man",13816,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O
18,"Se Não Acordar Amanhã",Piruka,13777,https://open.spotify.com/track/4oWGtWd4deNrZZOopdmCwz
19,"Bad Things (with Camila Cabello)","Machine Gun Kelly",13731,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj
