,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,30180,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
2,"thank u, next","Ariana Grande",30130,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
3,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",29324,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
4,Cafeína,"Dj Dadda",27291,https://open.spotify.com/track/37tlhZnzXdF5en96O1j93w
5,Shallow,"Lady Gaga",26021,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
6,"MIA (feat. Drake)","Bad Bunny",25206,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
7,"Devia Ir","Wet Bed Gang",24597,https://open.spotify.com/track/1ftBvRj542ol7LT1A0EtL7
8,Happier,Marshmello,21522,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
9,Sauce,Sippinpurpp,19940,https://open.spotify.com/track/4v5cpw1zIlqShprCCgL5UL
10,Natural,"Imagine Dragons",19529,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT
11,Better,Khalid,19451,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
12,"O Bebê","MC Kevinho",19179,https://open.spotify.com/track/51HrDv54pSe1IqynORNXBd
13,"Água de Coco (Prod. Lhast)",ProfJam,17654,https://open.spotify.com/track/4VXadgWrXnmHsWknVD2vgJ
14,"Without Me",Halsey,17559,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
15,"Te Boté - Remix","Nio Garcia",16429,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
16,Miúda,"Holly Hood",16252,https://open.spotify.com/track/1DHQcaZMENKPt8KBQgIr25
17,"Lucid Dreams","Juice WRLD",15951,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
18,Moonlight,XXXTENTACION,15396,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
19,"Eastside (with Halsey & Khalid)","benny blanco",15378,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
20,"SICKO MODE","Travis Scott",15017,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
21,"NÓS2 (feat. Deezy)",Bispo,15014,https://open.spotify.com/track/4Pl3vnDKIJRQ1eXjeqimBR
22,Youngblood,"5 Seconds of Summer",14823,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
23,"In My Mind",Dynoro,14728,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
