,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",40340,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",30969,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,23834,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
4,Paris,"The Chainsmokers",19661,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
5,"It Ain't Me (with Selena Gomez)",Kygo,19073,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
6,"Olha a Explosão","MC Kevinho",18388,https://open.spotify.com/track/6m2LNopVJKsvBB9l7Z1rwn
7,"I Feel It Coming","The Weeknd",17206,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
8,"Scared to Be Lonely","Martin Garrix",17069,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
9,"Chantaje (feat. Maluma)",Shakira,16254,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
10,"Something Just Like This","The Chainsmokers",16137,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
11,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",15315,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
12,Starboy,"The Weeknd",15114,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
13,Cold,"Maroon 5",14730,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
14,"Deu Onda","MC G15",14341,https://open.spotify.com/track/0EPxmvsG1BY5td4aTOkWBF
15,"Say You Won't Let Go","James Arthur",14310,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
16,"Castle on the Hill","Ed Sheeran",12799,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
17,Human,"Rag'n'Bone Man",12589,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O
18,Believer,"Imagine Dragons",12452,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
19,Issues,"Julia Michaels",11668,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
20,"Chained To The Rhythm","Katy Perry",11608,https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi
21,"Call On Me - Ryan Riback Extended Remix",Starley,11586,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
22,"Se Não Acordar Amanhã",Piruka,11289,https://open.spotify.com/track/4oWGtWd4deNrZZOopdmCwz
23,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",11044,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
24,Loucos,"Matias Damásio",11033,https://open.spotify.com/track/49Fu8EcEOZ9OnpM1XpPpyU
25,Closer,"The Chainsmokers",10777,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
26,"Just Hold On","Steve Aoki",10664,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
27,"That's What I Like","Bruno Mars",10273,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
28,"Bad Things (with Camila Cabello)","Machine Gun Kelly",10219,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj
29,"Fake Love",Drake,9449,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
30,"Let Me Love You","DJ Snake",9192,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
31,"Não Se Passa Nada",Piruka,9143,https://open.spotify.com/track/7AcZsdwJFJEPxGwr2ErOvu
32,"Love Me Now","John Legend",9063,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89
33,"How Far I'll Go - From ""Moana""","Alessia Cara",9042,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
34,"24K Magic","Bruno Mars",8763,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
35,"One Dance",Drake,8705,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
36,Weak,AJR,8700,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
37,"Don't Wanna Know","Maroon 5",8615,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
38,Mercy,"Shawn Mendes",8517,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a
39,"Solo Dance","Martin Jensen",8510,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
40,"Só Eu Sei",Virgul,8447,https://open.spotify.com/track/4bdnmTm3yx2W5wTmTewkVD
41,"Hear Me Now",Alok,8269,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
42,"I Got You","Bebe Rexha",8120,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i
43,"Shed a Light","Robin Schulz",8038,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY
44,"Ca Bu Fla Ma Nau",Piruka,7681,https://open.spotify.com/track/1VdIgUz8lT0JAsnMZRBHzz
45,"All Night","The Vamps",7583,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW
46,"In the Name of Love","Martin Garrix",7582,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
47,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",7473,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
48,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,7356,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
49,"Slide (feat. Frank Ocean & Migos)","Calvin Harris",7311,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
50,"Stay (with Alessia Cara)",Zedd,7145,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
51,"I Would Like","Zara Larsson",6346,https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6
