,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",34359,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,Starboy,"The Weeknd",21607,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
3,"Castle on the Hill","Ed Sheeran",20375,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
4,"Say You Won't Let Go","James Arthur",16621,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
5,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",16186,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
6,"I Feel It Coming","The Weeknd",15174,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
7,"Chantaje (feat. Maluma)",Shakira,14695,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
8,Closer,"The Chainsmokers",14392,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
9,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,14378,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
10,Mercy,"Shawn Mendes",14099,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a
11,"24K Magic","Bruno Mars",13673,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
12,"Let Me Love You","DJ Snake",13503,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
13,"Don't Wanna Know","Maroon 5",13456,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
14,"Fake Love",Drake,12826,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
15,"One Dance",Drake,12304,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
16,"Ca Bu Fla Ma Nau",Piruka,12243,https://open.spotify.com/track/1VdIgUz8lT0JAsnMZRBHzz
17,Loucos,"Matias Damásio",12055,https://open.spotify.com/track/49Fu8EcEOZ9OnpM1XpPpyU
18,"In the Name of Love","Martin Garrix",11014,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
19,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",10875,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
20,"Se Não Acordar Amanhã",Piruka,10697,https://open.spotify.com/track/4oWGtWd4deNrZZOopdmCwz
21,"Black Beatles","Rae Sremmurd",10216,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
22,"Scars To Your Beautiful","Alessia Cara",10076,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK
23,"Love Me Now","John Legend",9961,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89
24,"Só Eu Sei",Virgul,9841,https://open.spotify.com/track/4bdnmTm3yx2W5wTmTewkVD
25,"Deu Onda","MC G15",9829,https://open.spotify.com/track/0EPxmvsG1BY5td4aTOkWBF
26,"Side To Side","Ariana Grande",9399,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
27,"My Way","Calvin Harris",9370,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
28,"Treat You Better","Shawn Mendes",9357,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd
29,Heathens,"Twenty One Pilots",9191,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
30,"Just Hold On","Steve Aoki",9063,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
31,"Bad Things (with Camila Cabello)","Machine Gun Kelly",8902,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj
32,"Dancing On My Own","Calum Scott",8841,https://open.spotify.com/track/02WacdrRpm4zlP8H7X6bnQ
33,"Não Se Passa Nada",Piruka,8116,https://open.spotify.com/track/7AcZsdwJFJEPxGwr2ErOvu
34,Starving,"Hailee Steinfeld",8056,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe
35,"All We Know","The Chainsmokers",7927,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK
36,"Call On Me - Ryan Riback Extended Remix",Starley,7668,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
37,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",7614,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
38,"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth",7520,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV
39,Dialeto,"Diogo Piçarra",7449,https://open.spotify.com/track/1Eq8bovIxKCDJzzWa78V7p
40,"Hear Me Now",Alok,7416,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
41,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",7173,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl
42,"Perfect Strangers","Jonas Blue",7134,https://open.spotify.com/track/1CUVN2kn7mW5FjkqXTR2W1
43,Sirenes,Piruka,7120,https://open.spotify.com/track/5rnHKl6dYUZPtlMLLbKDBK
44,"Don't Let Me Down","The Chainsmokers",7091,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm
45,"La Bicicleta","Carlos Vives",7028,https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU
46,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","Lil Wayne",6463,https://open.spotify.com/track/4dASQiO1Eoo3RJvt74FtXB
47,"Shed a Light","Robin Schulz",6034,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY
48,"Cheap Thrills",Sia,5923,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
49,"Party Monster","The Weeknd",5848,https://open.spotify.com/track/4F7A0DXBrmUAkp32uenhZt
50,Família,Piruka,5698,https://open.spotify.com/track/0NFFf3MOxHaMNdWXjDuEXb
51,"Queres Falar do Quê ?",Piruka,5672,https://open.spotify.com/track/7u4MeccGgndCXhZX7HRDPl
52,"Era Eu",D.A.M.A.,5470,https://open.spotify.com/track/3EWDt24UjkBgHAmdQIyTYz
53,Human,"Rag'n'Bone Man",5445,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O
54,"Too Good",Drake,5437,https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew
55,"I Would Like","Zara Larsson",5434,https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6
56,Photograph,"Ed Sheeran",5331,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
57,História,"Diogo Piçarra",5190,https://open.spotify.com/track/14ngg5qaXPvt2rrPvMV1kC
58,Sorry,"Justin Bieber",5024,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
59,"i hate u, i love u (feat. olivia o'brien)",gnash,4883,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
60,"Let Me Hold You (Turn Me On)","Dante Klein",4736,https://open.spotify.com/track/0lmdsH1MIoLsMymnNpd6HU
61,Panda,Desiigner,4729,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h
62,"By Your Side","Jonas Blue",4722,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j
63,"Mo Boy",Dillaz,4696,https://open.spotify.com/track/0A3b3cu2JPBUTGC6qJEqUy
64,"Now and Later","Sage The Gemini",4662,https://open.spotify.com/track/43jBqV3j3Xi1g6wO0bhIMd
65,"Minha Pergunta",Piruka,4642,https://open.spotify.com/track/3clCSxuadGNtporvpDX93N
66,Safari,"J Balvin",4633,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO
67,"The Greatest",Sia,4368,https://open.spotify.com/track/6bLopGnirdrilrpdVB6Um1
68,"Não Queiras Tentar",Piruka,4354,https://open.spotify.com/track/5kMsGf0kuievCawSOi0fAi
69,Ride,"Twenty One Pilots",4328,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
70,"Work from Home (feat. Ty Dolla $ign)","Fifth Harmony",4311,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb
71,"The Mack",Nevada,4253,https://open.spotify.com/track/7aV2mflaASUmGhCErm7kBO
72,Work,Rihanna,4238,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v
73,"The Greatest",Sia,4237,https://open.spotify.com/track/7xHWNBFm6ObGEQPaUxHuKO
74,Controlla,Drake,4219,https://open.spotify.com/track/6F609ICg9Spjrw1epsAnpa
75,"This Town","Niall Horan",4189,https://open.spotify.com/track/5nA67Y0XX9JipZwYxX7Gl7
76,"Needed Me",Rihanna,4111,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm
77,"Gasosa - Original Mix",Mastiksoul,4110,https://open.spotify.com/track/7s2lqArAIb1TaYM3oUWbVb
78,"Hymn for the Weekend - Seeb Remix",Coldplay,4107,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU
79,Clara,Piruka,4107,https://open.spotify.com/track/3Dv90oXJ3WcguYb4EA3cYv
80,"I Need This Girl",Virgul,4049,https://open.spotify.com/track/3HHZ6lDSL7DLfNSDlcT3bI
81,"The Ocean (feat. Shy Martin)","Mike Perry",4029,https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv
82,"This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016)","David Guetta",3953,https://open.spotify.com/track/46NBoIAHrmR7qcUGCIFEjR
83,"Stressed Out","Twenty One Pilots",3921,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
84,"Deja Vu","J. Cole",3920,https://open.spotify.com/track/6I6NX6tjGsxFAsIfGzY9lJ
85,"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",3916,https://open.spotify.com/track/0L7loeTIg6akW84aEQZpCT
86,Sidewalks,"The Weeknd",3915,https://open.spotify.com/track/4h90qkbnW1Qq6pBhoPvwko
87,"Broccoli (feat. Lil Yachty)",DRAM,3884,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol
88,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,3854,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
89,"7 Years","Lukas Graham",3839,https://open.spotify.com/track/7129iqBafaphfc3WPCGC0L
90,"As Coisas",Valas,3822,https://open.spotify.com/track/1LNUvQr9glutgCXivT6HoK
91,Aclara,Piruka,3819,https://open.spotify.com/track/4N1RlqJLaBkiFmm0uu5nVw
92,"This Is What You Came For","Calvin Harris",3806,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
93,"How Far I'll Go - From ""Moana""","Alessia Cara",3804,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
