,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",40993,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
2,"Shape of You","Ed Sheeran",39948,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
3,"It Ain't Me (with Selena Gomez)",Kygo,23225,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
4,"Something Just Like This","The Chainsmokers",23080,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
5,Cold,"Maroon 5",22146,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
6,Passionfruit,Drake,21174,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
7,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,20319,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
8,Paris,"The Chainsmokers",19602,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
9,"That's What I Like","Bruno Mars",18846,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
10,"Scared to Be Lonely","Martin Garrix",18808,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
11,Believer,"Imagine Dragons",18744,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
12,"Stay (with Alessia Cara)",Zedd,18203,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
13,"Galway Girl","Ed Sheeran",17181,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
14,"Castle on the Hill","Ed Sheeran",16240,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
15,"You Don't Know Me - Radio Edit","Jax Jones",16082,https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY
16,"I Feel It Coming","The Weeknd",15595,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
17,Issues,"Julia Michaels",14742,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
18,"Chantaje (feat. Maluma)",Shakira,14491,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
19,"Olha a Explosão","MC Kevinho",14445,https://open.spotify.com/track/6m2LNopVJKsvBB9l7Z1rwn
20,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",14264,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
21,"Slide (feat. Frank Ocean & Migos)","Calvin Harris",13819,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
22,Starboy,"The Weeknd",13697,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
23,"Chained To The Rhythm","Katy Perry",13608,https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi
24,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",13254,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
25,"SUBEME LA RADIO","Enrique Iglesias",12871,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
26,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",12424,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
27,"Fake Love",Drake,12132,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
28,Perfect,"Ed Sheeran",12081,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
29,"Mask Off",Future,12045,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
30,"Green Light",Lorde,12006,https://open.spotify.com/track/0gbBzIqrECJOEPvQJIBFs5
31,"Call On Me - Ryan Riback Extended Remix",Starley,11812,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
32,"Say You Won't Let Go","James Arthur",11699,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
33,Happier,"Ed Sheeran",10986,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
34,"Solo Dance","Martin Jensen",10878,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
35,"Symphony (feat. Zara Larsson)","Clean Bandit",10166,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
36,Human,"Rag'n'Bone Man",10153,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O
37,"I Got You","Bebe Rexha",10142,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i
38,"Se Não Acordar Amanhã",Piruka,10053,https://open.spotify.com/track/4oWGtWd4deNrZZOopdmCwz
39,Blem,Drake,10043,https://open.spotify.com/track/2XlHu0HcujBCkWMdIAvrqt
40,"Love On The Brain",Rihanna,10034,https://open.spotify.com/track/2aksifNn5ph8igDOkPBA02
41,Selfish,Future,9716,https://open.spotify.com/track/2Ce5IyMlVRVvN997ZJjJJA
42,"Não Se Passa Nada",Piruka,9597,https://open.spotify.com/track/7AcZsdwJFJEPxGwr2ErOvu
43,Closer,"The Chainsmokers",9565,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
44,Dive,"Ed Sheeran",9485,https://open.spotify.com/track/51ChrwmUPDJvedPQnIU8Ls
45,"Deu Onda","MC G15",9236,https://open.spotify.com/track/0EPxmvsG1BY5td4aTOkWBF
46,Loucos,"Matias Damásio",8994,https://open.spotify.com/track/49Fu8EcEOZ9OnpM1XpPpyU
47,"Só Eu Sei",Virgul,8848,https://open.spotify.com/track/4bdnmTm3yx2W5wTmTewkVD
48,Portland,Drake,8673,https://open.spotify.com/track/2bjwRfXMk4uRgOD9IBYl9h
49,"Get It Together",Drake,8528,https://open.spotify.com/track/7y6c07pgjZvtHI9kuMVqk1
50,"Hear Me Now",Alok,8202,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
51,"Still Got Time",ZAYN,8196,https://open.spotify.com/track/000xQL6tZNLJzIrtIgxqSl
52,"How Far I'll Go - From ""Moana""","Alessia Cara",7929,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
53,"El Amante","Nicky Jam",7553,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs
