,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",38179,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
2,"Shape of You","Ed Sheeran",37730,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
3,"Something Just Like This","The Chainsmokers",27901,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
4,"It Ain't Me (with Selena Gomez)",Kygo,24918,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
5,Cold,"Maroon 5",23624,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
6,Passionfruit,Drake,22477,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
7,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",22348,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
8,Paris,"The Chainsmokers",22099,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
9,"Stay (with Alessia Cara)",Zedd,21614,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
10,"That's What I Like","Bruno Mars",21490,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
11,HUMBLE.,"Kendrick Lamar",20363,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
12,"Scared to Be Lonely","Martin Garrix",20271,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
13,Believer,"Imagine Dragons",19659,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
14,"You Don't Know Me - Radio Edit","Jax Jones",18684,https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY
15,"SUBEME LA RADIO","Enrique Iglesias",17133,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
16,"Slide (feat. Frank Ocean & Migos)","Calvin Harris",17013,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
17,"Symphony (feat. Zara Larsson)","Clean Bandit",16969,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
18,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,16870,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
19,"Mask Off",Future,16690,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
20,Issues,"Julia Michaels",16302,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
21,"Olha a Explosão","MC Kevinho",15532,https://open.spotify.com/track/6m2LNopVJKsvBB9l7Z1rwn
22,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",15378,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
23,"Chantaje (feat. Maluma)",Shakira,14947,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
24,"Galway Girl","Ed Sheeran",14886,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
25,"I Feel It Coming","The Weeknd",14681,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
26,Starboy,"The Weeknd",14195,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
