,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Amor de Verdade","MC Kekel",27164,https://open.spotify.com/track/76KDy62J99FKu6ZsxMJy3j
2,"Better Now","Post Malone",26413,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
3,"One Kiss (with Dua Lipa)","Calvin Harris",22517,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
4,"Faz Gostoso",Blaya,20563,https://open.spotify.com/track/35pucCKt28NvIK88gpEEjl
5,X,"Nicky Jam",18669,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
6,"Back To You","Selena Gomez",18304,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
7,"Girls Like You (feat. Cardi B)","Maroon 5",18292,https://open.spotify.com/track/6FRLCMO5TUHTexlWo8ym1W
8,"I Like It","Cardi B",16955,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
9,"God's Plan",Drake,16818,https://open.spotify.com/track/6T8cJz5lAqGer9GUHGyelE
10,"Lucid Dreams","Juice WRLD",16091,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
11,"no tears left to cry","Ariana Grande",15732,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
12,FRIENDS,Marshmello,15020,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
13,"lovely (with Khalid)","Billie Eilish",14970,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
14,Youngblood,"5 Seconds of Summer",14803,https://open.spotify.com/track/55S2PQgSMYAhgoTCcGCDfw
15,"Nice For What",Drake,14577,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
16,"All Mine","Kanye West",14396,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
17,"Mafiosa (feat. Caroliina)",Lartiste,14161,https://open.spotify.com/track/0WxiQqTcK3ZErx2mMWgtm6
18,"1100 Cegonhas - Prod. Here's Jhonny",Dillaz,14085,https://open.spotify.com/track/2z8miBNCvH52PnK5vfeXm8
19,"Psycho (feat. Ty Dolla $ign)","Post Malone",13937,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
20,"Solo (feat. Demi Lovato)","Clean Bandit",12895,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
21,"Youth feat. Khalid","Shawn Mendes",12241,https://open.spotify.com/track/5SwEgzUFDHwpWHKrbnP32Z
22,"This Is America","Childish Gambino",12053,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
