,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Devia Ir","Wet Bed Gang",35627,https://open.spotify.com/track/1ftBvRj542ol7LT1A0EtL7
2,"O Bebê","MC Kevinho",29763,https://open.spotify.com/track/51HrDv54pSe1IqynORNXBd
3,Cafeína,"Dj Dadda",29162,https://open.spotify.com/track/37tlhZnzXdF5en96O1j93w
4,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",27396,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
5,Happier,Marshmello,22011,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
6,"Te Boté - Remix","Nio Garcia",21282,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
7,"Lucid Dreams","Juice WRLD",20950,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
8,"NÓS2 (feat. Deezy)",Bispo,19274,https://open.spotify.com/track/4Pl3vnDKIJRQ1eXjeqimBR
9,"Falling Down - Bonus Track","Lil Peep",18709,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
10,Natural,"Imagine Dragons",18051,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
11,Miúda,"Holly Hood",17804,https://open.spotify.com/track/1DHQcaZMENKPt8KBQgIr25
12,"Mafiosa (feat. Caroliina)",Lartiste,17326,https://open.spotify.com/track/0WxiQqTcK3ZErx2mMWgtm6
13,"Água de Coco (Prod. Lhast)",ProfJam,17281,https://open.spotify.com/track/4VXadgWrXnmHsWknVD2vgJ
14,"Eastside (with Halsey & Khalid)","benny blanco",17272,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
15,Better,Khalid,17116,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
16,"I Love It (& Lil Pump)","Kanye West",16627,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
17,Sauce,Sippinpurpp,16549,https://open.spotify.com/track/4v5cpw1zIlqShprCCgL5UL
18,"In My Mind",Dynoro,16066,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
19,"In My Feelings",Drake,16006,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
20,SAD!,XXXTENTACION,16000,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
21,"Amor de Verdade","MC Kekel",15757,https://open.spotify.com/track/76KDy62J99FKu6ZsxMJy3j
22,"Promises (with Sam Smith)","Calvin Harris",14880,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
23,Moonlight,XXXTENTACION,14675,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
24,"Mesa 8","Wet Bed Gang",14246,https://open.spotify.com/track/6ZWr4ogmKx2JlY6YOTcnON
25,"Better Now","Post Malone",13837,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
26,Youngblood,"5 Seconds of Summer",13771,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
27,"Without Me",Halsey,12636,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
28,"Taste (feat. Offset)",Tyga,12151,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
29,"Girls Like You (feat. Cardi B)","Maroon 5",11995,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
30,"SICKO MODE","Travis Scott",11517,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
31,Rise,"Jonas Blue",11284,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
32,BEBE,6ix9ine,11110,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
33,"Electricity (with Dua Lipa)","Silk City",11097,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
34,"Chaminé (Zara G)","Wet Bed Gang",11030,https://open.spotify.com/track/53kn2KqWSG9neh5H3YQqxt
35,"Vaina Loca",Ozuna,10887,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
36,"Não Sinto","Wet Bed Gang",10401,https://open.spotify.com/track/0YC2GENi574LpUCPEHk8qy
37,Rain,mishlawi,10387,https://open.spotify.com/track/65GMCfqsrFRDSX7OWNoJeS
38,"Beautiful (feat. Camila Cabello)",Bazzi,10275,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
39,Shallow,"Lady Gaga",10234,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
40,"Be Alright","Dean Lewis",10179,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
41,"Lucky You (feat. Joyner Lucas)",Eminem,10166,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
42,"Din Din Din (Participação especial de MC Pupio e MC Doguinha)",Ludmilla,9998,https://open.spotify.com/track/78Q2gghkt8iLJ7J0Uc4QYb
43,"Prova dos 9",Piruka,9766,https://open.spotify.com/track/7JSvz1VaPKZzQ0gRJkW95x
