,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Devia Ir","Wet Bed Gang",40514,https://open.spotify.com/track/1ftBvRj542ol7LT1A0EtL7
2,"In My Feelings",Drake,28684,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
3,"Mafiosa (feat. Caroliina)",Lartiste,23819,https://open.spotify.com/track/0WxiQqTcK3ZErx2mMWgtm6
4,"Te Boté - Remix","Nio Garcia",23031,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
5,"Lucid Dreams","Juice WRLD",20938,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
6,"The Ringer",Eminem,18975,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
7,"Lucky You (feat. Joyner Lucas)",Eminem,18162,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
8,"Amor de Verdade","MC Kekel",17645,https://open.spotify.com/track/76KDy62J99FKu6ZsxMJy3j
9,"Girls Like You (feat. Cardi B)","Maroon 5",17616,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
10,"Taste (feat. Offset)",Tyga,17122,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
11,SAD!,XXXTENTACION,16427,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
12,"Din Din Din (Participação especial de MC Pupio e MC Doguinha)",Ludmilla,16078,https://open.spotify.com/track/78Q2gghkt8iLJ7J0Uc4QYb
13,Rise,"Jonas Blue",14959,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
14,"Eastside (with Halsey & Khalid)","benny blanco",14921,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
15,Greatest,Eminem,14775,https://open.spotify.com/track/2XTquzYQAdT1Hk78bOUwsv
16,"NÓS2 (feat. Deezy)",Bispo,14378,https://open.spotify.com/track/4Pl3vnDKIJRQ1eXjeqimBR
17,"Better Now","Post Malone",14371,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
18,"In My Mind",Dynoro,14135,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
